acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.236,https://api.spotify.com/v1/audio-analysis/5xIODxqlpUnRVA9ewZUCug,0.645,182522,0.774,5xIODxqlpUnRVA9ewZUCug,0,6,0.128,-4.839,0,0.344,0.229325,86.692,4,https://api.spotify.com/v1/tracks/5xIODxqlpUnRVA9ewZUCug,audio_features,spotify:track:5xIODxqlpUnRVA9ewZUCug,0.635
0.877,https://api.spotify.com/v1/audio-analysis/3r1cV21xPMkgCmxk8VqWOB,0.838,135597,0.549,3r1cV21xPMkgCmxk8VqWOB,0.000964,9,0.115,-7.145,0,0.0755,0.40278125,114.445,4,https://api.spotify.com/v1/tracks/3r1cV21xPMkgCmxk8VqWOB,audio_features,spotify:track:3r1cV21xPMkgCmxk8VqWOB,0.654
0.176,https://api.spotify.com/v1/audio-analysis/0oOPa0AlLnjCO6eci0HIdH,0.515,190000,0.59,0oOPa0AlLnjCO6eci0HIdH,2.47E-06,2,0.141,-6.761,0,0.217,0.31115625,99.785,4,https://api.spotify.com/v1/tracks/0oOPa0AlLnjCO6eci0HIdH,audio_features,spotify:track:0oOPa0AlLnjCO6eci0HIdH,0.374
0.013,https://api.spotify.com/v1/audio-analysis/1L8LtC2s161XwY6YrtnQjw,0.819,173220,0.674,1L8LtC2s161XwY6YrtnQjw,0,6,0.384,-4.663,1,0.327,0.41185625,115.897,5,https://api.spotify.com/v1/tracks/1L8LtC2s161XwY6YrtnQjw,audio_features,spotify:track:1L8LtC2s161XwY6YrtnQjw,0.766
0.25,https://api.spotify.com/v1/audio-analysis/4cawYWrqMRz0T0hOIVxk6j,0.805,156497,0.625,4cawYWrqMRz0T0hOIVxk6j,0.00527,5,0.0954,-8.589,0,0.0434,0.331225,102.996,4,https://api.spotify.com/v1/tracks/4cawYWrqMRz0T0hOIVxk6j,audio_features,spotify:track:4cawYWrqMRz0T0hOIVxk6j,0.647
0.0662,https://api.spotify.com/v1/audio-analysis/200cTjC6si5Xz9af2QeHi2,0.77,172827,0.797,200cTjC6si5Xz9af2QeHi2,3.81E-06,10,0.0858,-4.985,0,0.0693,0.31251875,100.003,4,https://api.spotify.com/v1/tracks/200cTjC6si5Xz9af2QeHi2,audio_features,spotify:track:200cTjC6si5Xz9af2QeHi2,0.393
0.31,https://api.spotify.com/v1/audio-analysis/0ypCvaP431mEM6znlVHNRP,0.687,193573,0.766,0ypCvaP431mEM6znlVHNRP,0,9,0.196,-6.739,0,0.105,0.56274375,140.039,4,https://api.spotify.com/v1/tracks/0ypCvaP431mEM6znlVHNRP,audio_features,spotify:track:0ypCvaP431mEM6znlVHNRP,0.629
0.275,https://api.spotify.com/v1/audio-analysis/1mdJ39D1lrR3aWIOhgeNaE,0.63,203067,0.692,1mdJ39D1lrR3aWIOhgeNaE,0,7,0.167,-4.951,0,0.427,0.81173125,179.877,4,https://api.spotify.com/v1/tracks/1mdJ39D1lrR3aWIOhgeNaE,audio_features,spotify:track:1mdJ39D1lrR3aWIOhgeNaE,0.82
0.207,https://api.spotify.com/v1/audio-analysis/2YC4rnhpt0sTIUcrIRHZSQ,0.866,174326,0.467,2YC4rnhpt0sTIUcrIRHZSQ,1.92E-06,9,0.161,-7.642,0,0.278,0.21926875,85.083,4,https://api.spotify.com/v1/tracks/2YC4rnhpt0sTIUcrIRHZSQ,audio_features,spotify:track:2YC4rnhpt0sTIUcrIRHZSQ,0.513
0.123,https://api.spotify.com/v1/audio-analysis/3UDsmMZsEMsvM82OcdqJWu,0.732,160096,0.746,3UDsmMZsEMsvM82OcdqJWu,0,3,0.097,-6.229,0,0.275,0.68675625,159.881,4,https://api.spotify.com/v1/tracks/3UDsmMZsEMsvM82OcdqJWu,audio_features,spotify:track:3UDsmMZsEMsvM82OcdqJWu,0.927
