acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,speechiness,tempo_normalised,tempo,valence,Popularity,Language,Genre
0.0073,0.664,233293,0.576,61HHDBLqF3AmSvLfHKNGd2,6.28E-05,0.0912,-5.395,0.0349,0.5308375,134.934,0.121,50,Spanish,Latin Pop
0.0897,0.745,223613,0.921,5i50gKdLAjjIr7UxRT5IVy,0,0.178,-2.674,0.082,0.26858125,92.973,0.651,50,Spanish,Latin Pop
0.163,0.817,207200,0.869,7lRsNbdOGykkMAgsqs4R1C,0.00226,0.0497,-4.791,0.18,0.28768125,96.029,0.561,50,Spanish,Latin Pop
0.116,0.685,204520,0.859,4okba5wu9mMLXx79DXLKi3,0,0.317,-2.595,0.0553,0.7876125,176.018,0.891,50,Spanish,Reggaeton
0.154,0.889,201280,0.853,6qDF4wWL49CAVbgT7yuHl8,0.000107,0.205,-4.26,0.241,0.2688875,93.022,0.922,50,Spanish,Reggaeton
0.155,0.773,223381,0.74,6pLKMPAUlBCjHjylj2Nbd9,0.514,0.159,-7.21,0.0895,0.41889375,117.023,0.226,50,German,Hip Hop
0.246,0.708,271080,0.693,22eADXu8DfOAUEDw4vU8qy,0,0.129,-5.516,0.138,0.58728125,143.965,0.427,50,Spanish,Latin Trap
0.142,0.776,228467,0.669,5J1c3M4EldCfNxXwrwt8mT,0,0.219,-4.933,0.0638,0.256325,91.012,0.661,50,Spanish,Latin Pop
0.00812,0.789,167311,0.767,3ibRxEv4KkcU9e259eyNJA,0.000348,0.101,-4.612,0.0715,0.31223125,99.957,0.637,50,Spanish,Latin Trap
0.551,0.508,205600,0.687,6rQSrBHf7HlZjtcMZ4S4bO,3.41E-06,0.126,-4.361,0.326,0.812775,180.044,0.555,50,Spanish,Reggaeton
0.0106,0.782,265747,0.868,693iqPOQvhI7PobtR8CC8v,0.00252,0.29,-1.715,0.04,0.2877625,96.042,0.884,50,Spanish,Reggaeton
0.0245,0.747,232787,0.864,2cnKEkpVUSV4wnjQiTWfH6,4.46E-05,0.0853,-3.181,0.0599,0.262675,92.028,0.754,50,Spanish,Dance
0.0309,0.792,205520,0.819,209gZgcfLq2aUuu51vOWBl,0,0.389,-5.418,0.0867,0.249875,89.98,0.433,50,Spanish,Latin Pop
0.231,0.755,229849,0.789,0qYTZCo5Bwh1nsUFGZP3zn,0,0.351,-4.502,0.146,0.27483125,93.973,0.737,50,Spanish,Reggaeton
0.0148,0.543,189440,0.677,2rb5MvYT7ZIxbKW5hfcHx8,6.21E-06,0.13,-4.915,0.0993,0.33630625,103.809,0.294,50,Spanish,Reggaeton
0.209,0.66,228200,0.786,4aWmUDTfIPGksMNLV2rQP2,0,0.112,-4.757,0.17,0.79895625,177.833,0.846,50,Spanish,Reggaeton
0.229,0.694,228827,0.815,5CtI0qwDJkDQGwXD1H1cLb,0,0.0924,-4.328,0.12,0.24331875,88.931,0.813,50,Spanish,Reggaeton
0.0294,0.702,205209,0.844,19MBk3PbNFE36wqIqkMq9H,0,0.38,-4.054,0.0769,0.31276875,100.043,0.786,50,Spanish,Latin Pop
0.174,0.649,219683,0.895,6752EZMgXswvRBH3N2PilO,1.95E-06,0.095,-1.358,0.0394,0.7754625,174.074,0.664,50,Spanish,Reggaeton
0.187,0.836,217653,0.799,00EPIEnX1JFjff8sC6bccd,0,0.092,-4.247,0.0873,0.27520625,94.033,0.772,50,Spanish,Latin Pop
0.16,0.512,367680,0.452,7nD2JPaxIKUdxd2UWgnaGL,0,0.0672,-7.217,0.124,0.18775,80.04,0.364,50,Spanish,Latin Pop
0.831,0.793,208080,0.557,7glCSQqV5o6NU88Cn4zPZn,4.45E-06,0.103,-5.618,0.1,0.4382375,120.118,0.468,50,Spanish,Latin Trap
0.205,0.735,193118,0.482,0Szp49tpFasIjX04Mcsydp,0.000194,0.0894,-9.21,0.0508,0.78691875,175.907,0.795,50,Spanish,Latin Pop
