acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.314,https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn,0.755,189052,0.858,4pUCKHjJ4Ijewc37rRrvHn,0.00318,2,0.301,-4.119,1,0.198,0.5130125,132.082,4,https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn,audio_features,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,0.57,
0.0175,https://api.spotify.com/v1/audio-analysis/2tzAN1L07SNwnOdgOEeuQr,0.657,341574,0.746,2tzAN1L07SNwnOdgOEeuQr,0,1,0.107,-6.277,1,0.0464,0.54304375,136.887,4,https://api.spotify.com/v1/tracks/2tzAN1L07SNwnOdgOEeuQr,audio_features,spotify:track:2tzAN1L07SNwnOdgOEeuQr,0.467,
0.341,https://api.spotify.com/v1/audio-analysis/5V2AX2WTOHl2FKtftvisV6,0.662,243015,0.529,5V2AX2WTOHl2FKtftvisV6,0.000208,2,0.105,-8.539,1,0.0351,0.4849,127.584,4,https://api.spotify.com/v1/tracks/5V2AX2WTOHl2FKtftvisV6,audio_features,spotify:track:5V2AX2WTOHl2FKtftvisV6,0.424,
0.535,https://api.spotify.com/v1/audio-analysis/3sm9FJhwOjsdzrfRgIf1ZK,0.94,297933,0.499,3sm9FJhwOjsdzrfRgIf1ZK,0.000119,8,0.0889,-10.123,1,0.0825,0.3747625,109.962,4,https://api.spotify.com/v1/tracks/3sm9FJhwOjsdzrfRgIf1ZK,audio_features,spotify:track:3sm9FJhwOjsdzrfRgIf1ZK,0.537,
0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040,0.479,3KkXRkHbMCARz0aVfEt68P,0,2,0.0703,-5.574,1,0.0466,0.24944375,89.911,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913,
0.701,https://api.spotify.com/v1/audio-analysis/1X4l4i472kW5ofFP8Xo0x0,0.66,277099,0.373,1X4l4i472kW5ofFP8Xo0x0,0,7,0.226,-7.874,1,0.029,0.48054375,126.887,4,https://api.spotify.com/v1/tracks/1X4l4i472kW5ofFP8Xo0x0,audio_features,spotify:track:1X4l4i472kW5ofFP8Xo0x0,0.348,
0.447,https://api.spotify.com/v1/audio-analysis/5f9808hpiCpuNyqqdXmpF2,0.631,343446,0.381,5f9808hpiCpuNyqqdXmpF2,0.000171,7,0.0902,-11.808,1,0.04,0.47505,126.008,4,https://api.spotify.com/v1/tracks/5f9808hpiCpuNyqqdXmpF2,audio_features,spotify:track:5f9808hpiCpuNyqqdXmpF2,0.36,
0.161,https://api.spotify.com/v1/audio-analysis/2BgD4nRyx9EZ5o8YEnjRSV,0.502,267759,0.482,2BgD4nRyx9EZ5o8YEnjRSV,0,4,0.187,-4.736,1,0.0288,0.5243375,133.894,4,https://api.spotify.com/v1/tracks/2BgD4nRyx9EZ5o8YEnjRSV,audio_features,spotify:track:2BgD4nRyx9EZ5o8YEnjRSV,0.132,
0.0877,https://api.spotify.com/v1/audio-analysis/50hVyhZM4nvizfrQe38F3l,0.396,282442,0.413,50hVyhZM4nvizfrQe38F3l,2.95E-05,7,0.124,-11.566,1,0.0334,0.5426125,136.818,4,https://api.spotify.com/v1/tracks/50hVyhZM4nvizfrQe38F3l,audio_features,spotify:track:50hVyhZM4nvizfrQe38F3l,0.108,
0.0319,https://api.spotify.com/v1/audio-analysis/5nMKJJ5Rl6X1yn58aVeICO,0.5,270233,0.728,5nMKJJ5Rl6X1yn58aVeICO,0,9,0.0782,-5.472,0,0.0313,0.53048125,134.877,4,https://api.spotify.com/v1/tracks/5nMKJJ5Rl6X1yn58aVeICO,audio_features,spotify:track:5nMKJJ5Rl6X1yn58aVeICO,0.351,
