acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.0449,https://api.spotify.com/v1/audio-analysis/3VC7KLsQnwLdKHRu7J6XBP,0.928,177861,0.646,3VC7KLsQnwLdKHRu7J6XBP,0,1,0.19,-6.675,1,0.211,0.45663125,123.061,4,https://api.spotify.com/v1/tracks/3VC7KLsQnwLdKHRu7J6XBP,audio_features,spotify:track:3VC7KLsQnwLdKHRu7J6XBP,0.315
0.115,https://api.spotify.com/v1/audio-analysis/59l0CeaA4LLngf30waUXWB,0.769,194772,0.556,59l0CeaA4LLngf30waUXWB,0.000294,9,0.117,-5.375,0,0.082,0.624825,149.972,4,https://api.spotify.com/v1/tracks/59l0CeaA4LLngf30waUXWB,audio_features,spotify:track:59l0CeaA4LLngf30waUXWB,0.607
0.138,https://api.spotify.com/v1/audio-analysis/09XOVDSIbBxBf6Kr1vGnHf,0.904,206693,0.462,09XOVDSIbBxBf6Kr1vGnHf,0,2,0.139,-12.017,1,0.295,0.2501375,90.022,4,https://api.spotify.com/v1/tracks/09XOVDSIbBxBf6Kr1vGnHf,audio_features,spotify:track:09XOVDSIbBxBf6Kr1vGnHf,0.692
0.304,https://api.spotify.com/v1/audio-analysis/5NK38OSKOCAoPxTe6sOgW9,0.841,216100,0.635,5NK38OSKOCAoPxTe6sOgW9,0,6,0.0978,-5.616,1,0.169,0.5997875,145.966,4,https://api.spotify.com/v1/tracks/5NK38OSKOCAoPxTe6sOgW9,audio_features,spotify:track:5NK38OSKOCAoPxTe6sOgW9,0.445
0.634,https://api.spotify.com/v1/audio-analysis/381kyofsIJKajRfX9iKLs8,0.719,188362,0.607,381kyofsIJKajRfX9iKLs8,7.76E-06,10,0.111,-7.323,0,0.0398,0.62480625,149.969,4,https://api.spotify.com/v1/tracks/381kyofsIJKajRfX9iKLs8,audio_features,spotify:track:381kyofsIJKajRfX9iKLs8,0.48
0.21,https://api.spotify.com/v1/audio-analysis/1pNZLvVjMheeoOpuQqKDIJ,0.889,219419,0.729,1pNZLvVjMheeoOpuQqKDIJ,0,6,0.104,-6.083,1,0.28,0.60001875,146.003,4,https://api.spotify.com/v1/tracks/1pNZLvVjMheeoOpuQqKDIJ,audio_features,spotify:track:1pNZLvVjMheeoOpuQqKDIJ,0.632
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,0.5120375,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578
0.0889,https://api.spotify.com/v1/audio-analysis/3kyGlb9iNqhKJsS2WVNyzH,0.943,213841,0.846,3kyGlb9iNqhKJsS2WVNyzH,0,2,0.113,-4.025,1,0.212,0.53808125,136.093,4,https://api.spotify.com/v1/tracks/3kyGlb9iNqhKJsS2WVNyzH,audio_features,spotify:track:3kyGlb9iNqhKJsS2WVNyzH,0.699
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0,1,0.0881,-10.732,0,0.334,0.5628,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
0.548,https://api.spotify.com/v1/audio-analysis/0m0Ew7RcwZaBS8psxgE00P,0.629,195484,0.581,0m0Ew7RcwZaBS8psxgE00P,0,1,0.127,-7.541,0,0.0577,0.4623875,123.982,4,https://api.spotify.com/v1/tracks/0m0Ew7RcwZaBS8psxgE00P,audio_features,spotify:track:0m0Ew7RcwZaBS8psxgE00P,0.388
0.109,https://api.spotify.com/v1/audio-analysis/3qOxkhNytyb6ifxNzxxULn,0.772,226768,0.716,3qOxkhNytyb6ifxNzxxULn,2.30E-05,5,0.0746,-4.454,1,0.219,0.5629375,140.07,4,https://api.spotify.com/v1/tracks/3qOxkhNytyb6ifxNzxxULn,audio_features,spotify:track:3qOxkhNytyb6ifxNzxxULn,0.388
0.241,https://api.spotify.com/v1/audio-analysis/7fUGWMgLzsVdID1eKoPm3b,0.777,254000,0.668,7fUGWMgLzsVdID1eKoPm3b,0,5,0.311,-6.088,0,0.174,0.624725,149.956,4,https://api.spotify.com/v1/tracks/7fUGWMgLzsVdID1eKoPm3b,audio_features,spotify:track:7fUGWMgLzsVdID1eKoPm3b,0.544
0.314,https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn,0.755,189052,0.858,4pUCKHjJ4Ijewc37rRrvHn,0.00318,2,0.301,-4.119,1,0.198,0.5130125,132.082,4,https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn,audio_features,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,0.57
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143,0.395,4SSnFejRGlZikf02HLewEF,0.14,8,0.106,-14.645,1,0.324,0.4378625,120.058,4,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162
