year,rank,artist,id,genres,popularity,followers
2018,1,Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",98,35712222
2018,2,Post Malone,246dkjvS1zLTtiykXe5h60,"['pop', 'rap']",96,12995757
2018,3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",92,42734338
2018,4,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"['dance pop', 'pop', 'post-teen pop']",89,19147433
2018,5,Cardi B,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']",92,7664136
2018,6,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']",95,12210321
2018,7,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']",92,17968308
2018,8,BTS,3Nrfpe0tUJi4K4DXYWgMUX,['k-pop'],93,10282224
2018,9,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop', 'post-teen pop']",91,20623359
2018,10,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,9235130
2018,11,Migos,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",88,8651342
2018,12,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"['pop', 'pop rap', 'rap', 'trap music']",94,5337797
2018,13,Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",93,25932451
2018,14,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",98,27818358
2018,15,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",90,12246547
2018,16,Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],89,17457990
2018,17,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,['chicago rap'],95,3915851
2018,18,Khalid,6LuN9FCkKOj5PcnpouEgny,['pop'],98,5925928
2018,19,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",89,10825980
2018,20,Halsey,26VFTg2z8YR0cCuwLzESi2,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",91,5833119
2018,21,P!nk,1KCSPY1glIKqW2TotWuXOR,"['dance pop', 'pop', 'post-teen pop']",86,6107933
2018,22,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'nc hip hop', 'pop rap', 'rap']",91,8059419
2018,23,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",90,15399472
2018,24,Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",83,7840587
2018,25,Sam Smith,2wY79sveU1sp5g7SokKOiI,"['pop', 'post-teen pop']",91,8307963
2018,26,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",92,14930249
2018,27,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,13360420
2018,28,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,['emo rap'],88,3802980
2018,29,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,['contemporary country'],77,1411923
2018,30,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",89,16030859
2018,31,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",84,2725450
2018,32,Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'atl trap', 'rap', 'trap music']",89,1967522
2018,33,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,"['dance pop', 'pop', 'r&b', 'uk contemporary r&b', 'urban contemporary']",80,1463501
2018,34,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop', 'post-teen pop']",88,3436790
2018,35,G-Eazy,02kJSzxNuaWGqwubyUba0Z,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']",86,3836487
2018,36,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,"['contemporary country', 'country', 'country road']",79,3897779
2018,37,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,['trap music'],85,2374593
2018,38,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,"['contemporary country', 'country', 'country road']",75,2401704
2018,39,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,"['dance pop', 'pop', 'post-teen pop']",84,1340947
2018,40,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,"['contemporary country', 'country', 'country road', 'modern country rock']",80,2556318
2018,41,NF,6fOMl44jA4Sp5b9PpYCkzz,"['hip hop', 'rap']",82,1740832
2018,42,Beyonce,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,18199637
2018,43,Lil Wayne,55Aa2cqylxrFIXC767Z865,"['hip hop', 'new orleans rap', 'pop', 'pop rap', 'rap', 'trap music']",91,7686851
2018,44,Lil Pump,3wyVrVrFCkukjdVIdirGVY,"['emo rap', 'miami hip hop', 'rap', 'trap music']",85,5424147
2018,45,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,"['contemporary country', 'country road']",80,1418083
2018,46,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,"['contemporary country', 'country', 'country road']",79,2965423
2018,47,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'pop rap', 'rap']",91,9560310
2018,48,Luke Combs,718COspgdWOnwOFpJHRZHS,"['contemporary country', 'country road']",81,1116654
2018,49,Logic,4xRYI6VqpkE3UwrDrAZL8L,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",87,3528533
2018,50,21 Savage,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'rap', 'trap music']",90,5948291
2018,51,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",82,4742932
2018,52,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",89,8443684
2018,53,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"['philly rap', 'rap', 'trap music']",88,6137014
2018,54,SZA,7tYKF4w9nC0nq9CsPZTHyP,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap']",82,2484137
2018,55,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,"['miami hip hop', 'rap', 'trap music']",89,4594372
2018,56,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",83,6504833
2018,57,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"['emo', 'modern rock', 'pop punk']",88,6608182
2018,58,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'egyptian pop', 'progressive electro house']",92,11067891
2018,59,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,1550930
2018,60,U2,51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",81,4715172
2018,61,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['dance pop', 'pop', 'post-teen pop']",89,14579916
2018,62,5 Seconds Of Summer,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'dance pop', 'pop', 'post-teen pop']",86,4474856
2018,63,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['latin', 'pop', 'reggaeton']",94,13785594
2018,64,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,['contemporary country'],79,835310
2018,65,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop']",91,7262679
2018,66,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['reggaeton', 'trap latino']",96,15952494
2018,67,Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino']",94,12080672
2018,68,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",82,6496138
2018,69,Eagles,0ECwFtbIWEVNwjlrfc6xoL,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",78,2955399
2018,70,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,['contemporary country'],75,343982
2018,71,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",82,4818980
2018,72,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,"['indie pop', 'indie rock', 'modern rock']",75,889151
2018,73,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,"['contemporary country', 'country', 'country road']",75,4151944
2018,74,Lil Skies,7d3WFRME3vBY2cgoP38RDo,['trap music'],87,2462753
2018,75,Future,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",90,7733683
2018,76,EXO,3cjEqqelV9zb4BYE3qDQ4O,['k-pop'],78,3942321
2018,77,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",76,732806
2018,78,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"['dance pop', 'pop', 'post-teen pop']",87,1128649
2018,79,Keith Urban,0u2FHSq3ln94y5Q57xazwf,"['australian country', 'contemporary country', 'country', 'country road']",75,3033164
2018,80,Elton John,3PhoLpVuITZKcymswpck5b,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",82,2623859
2018,81,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,"['atl hip hop', 'pop', 'pop rap', 'rap', 'trap music']",91,1064644
2018,82,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",86,1226645
2018,83,Queen,1dfeR4HaWDbWqFHLkxsg1d,"['glam rock', 'rock']",94,14975935
2018,84,Pentatonix,26AHtbjWKiwYzsoGoUZq53,['a cappella'],73,2215084
2018,85,Young Thug,50co4Is1HCEo8bhOyUWKpn,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,3963247
2018,86,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",90,31096453
2018,87,twenty one pilots,3YQKmKGau1PzlVlkL1iodx,"['pop punk', 'rock']",88,12499251
2018,88,The Carters,4fpTMHe34LC5t3h5ztK8qu,"['pop', 'r&b', 'urban contemporary']",68,474892
2018,89,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,"['contemporary country', 'country road']",74,479110
2018,90,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",89,2572656
2018,91,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,2653640
2018,92,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",78,1643943
2018,93,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,['contemporary country'],82,319618
2018,94,Journey,0rvjqX7ttXeg3mTy8Xscbt,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",76,2002961
2018,95,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",80,6092295
2018,96,Celine Dion,4S9EykWXhStSc15wEx8QFK,"['canadian pop', 'dance pop']",77,2224491
2018,97,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",79,3802245
2018,98,Harry Styles,6KImCVD70vtIoJWnq6nGn3,"['dance pop', 'pop', 'post-teen pop']",76,4212410
2018,99,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,"['ccm', 'christian music', 'worship']",76,751760
2018,100,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']",89,1010623
2017,1,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",92,42734338
2017,2,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop', 'post-teen pop']",91,20623359
2017,3,Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",98,35712222
2017,4,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",90,12246547
2017,5,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",90,15399472
2017,6,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,"['dance pop', 'edm', 'electropop', 'pop', 'tropical house']",89,11754681
2017,7,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",88,27254837
2017,8,Future,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",90,7733683
2017,9,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",89,16030859
2017,10,BTS,3Nrfpe0tUJi4K4DXYWgMUX,['k-pop'],93,10282226
2017,11,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",88,19023483
2017,12,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"['philly rap', 'rap', 'trap music']",88,6137014
2017,13,Migos,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",88,8651342
2017,14,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']",92,17968308
2017,15,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",98,27818368
2017,16,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,"['glam metal', 'hard rock', 'rock']",82,11637735
2017,17,Post Malone,246dkjvS1zLTtiykXe5h60,"['pop', 'rap']",96,12995759
2017,18,U2,51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",81,4715172
2017,19,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",90,31096453
2017,20,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",79,3802245
2017,21,Khalid,6LuN9FCkKOj5PcnpouEgny,['pop'],98,5925933
2017,22,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'nc hip hop', 'pop rap', 'rap']",91,8059419
2017,23,Metallica,2ye2Wgw4gimLv2eAKyk1NB,"['alternative metal', 'hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",84,10153094
2017,24,Halsey,26VFTg2z8YR0cCuwLzESi2,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",91,5833119
2017,25,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"['dance pop', 'pop', 'post-teen pop']",89,19147435
2017,26,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop']",91,7262679
2017,27,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b']",83,5085143
2017,28,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,"['contemporary country', 'country pop']",74,1573829
2017,29,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,"['dance pop', 'neo mellow', 'pop', 'post-teen pop']",79,3549523
2017,30,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",81,4752993
2017,31,twenty one pilots,3YQKmKGau1PzlVlkL1iodx,"['pop punk', 'rock']",88,12499251
2017,32,Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",84,5970139
2017,33,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,"['miami hip hop', 'rap', 'trap music']",89,4594372
2017,34,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"['pop', 'pop rap', 'rap', 'trap music']",94,5337797
2017,35,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['dance pop', 'pop', 'post-teen pop']",89,14579916
2017,36,21 Savage,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'rap', 'trap music']",90,5948291
2017,37,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,2653640
2017,38,James Arthur,4IWBUUAFIplrNtaOHcJPRM,"['dance pop', 'pop', 'post-teen pop', 'talent show']",85,3780385
2017,39,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,13360420
