acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,rank,genre
0.0332,0.754,198973,0.449,6DCZcSspjsKoFjzjrWoCdn,8.290000000000001e-05,7,0.552,-9.211,1,0.109,77.169,4,0.35700000000000004,89,2018,1,canadian hip hop
0.163,0.599,263400,0.44799999999999995,0tgVpDi06FyKpA1z0VMD4v,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168,89,2018,2,pop
0.047,0.643,163870,0.7829999999999999,7iDa6hUg2VgEL1o1HjmfBn,0.0,10,0.083,-6.4579999999999975,1,0.0856,154.084,4,0.579,85,2018,3,dance pop
0.184,0.765,217307,0.523,1rfofaqEpACxVEHIZBJe6W,3.5600000000000005e-05,2,0.132,-4.333,1,0.03,104.988,4,0.39399999999999996,88,2018,4,dance pop
0.11699999999999999,0.5870000000000001,218147,0.535,0e7ipj03S05BNilyu5bRzt,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14,91,2018,5,pop
0.58,0.7390000000000001,221440,0.5589999999999999,3swc6WTsr7rl9DqQKQA55C,0.0,8,0.11199999999999999,-8.011000000000001,1,0.11699999999999999,140.124,4,0.439,89,2018,6,pop
0.099,0.816,253390,0.726,58q2HKrzhC3ozto2nDdN4z,0.0,5,0.3720000000000001,-3.998,0,0.129,136.048,4,0.65,89,2018,7,pop
0.171,0.753,184732,0.657,09IStsImFySgyp0pIQdqAc,0.0,7,0.11199999999999999,-3.0610000000000004,1,0.0449,107.01,4,0.4370000000000001,88,2018,8,complextro
0.0589,0.835,217925,0.626,2G7V7zsVDxg1yRsu7Ew9RJ,5.9999999999999995e-05,1,0.396,-5.8329999999999975,1,0.125,91.03,4,0.35,88,2018,9,canadian hip hop
0.568,0.851,235545,0.541,6FRLCMO5TUHTexlWo8ym1W,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.44799999999999995,88,2018,10,pop
0.0891,0.586,210747,0.909,3CA9pLiwRIGtUBiMjbZmRw,0.000109,8,0.11900000000000001,-6.474,1,0.0705,93.39399999999999,4,0.757,85,2018,11,canadian hip hop
0.349,0.511,239836,0.5660000000000001,285pBltuF7vW8TeWk8hdRR,0.0,6,0.34,-7.23,0,0.2,83.90299999999998,4,0.218,91,2018,12,chicago rap
0.354,0.68,231267,0.563,7dt6x5M1jzdTEt8oCbisTK,0.0,10,0.136,-5.843,1,0.0454,145.028,4,0.374,92,2018,13,pop
0.0185,0.7040000000000001,217289,0.8590000000000001,3Vo4wInECJQuz9BIBMOu8i,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.9259999999999999,83,2018,14,dance pop
0.0862,0.561,256064,0.779,0At2qAoaVjIwWNAqrscXli,0.0,10,0.078,-5.107,0,0.0531,81.965,4,0.235,79,2018,15,dance pop
0.0026100000000000003,0.762,209320,0.7,2ekn2ttSfGqwhhate0LSR0,1.56e-05,9,0.153,-6.021,0,0.0694,116.073,4,0.608,86,2018,16,dance pop
0.258,0.74,166606,0.613,3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.12300000000000001,-4.88,1,0.145,75.023,4,0.473,91,2018,17,emo rap
0.18100000000000002,0.637,226973,0.713,4eWQlBRaTjPPUlzacqEeoQ,0.000637,0,0.13699999999999998,-4.333,1,0.0747,129.923,4,0.243,80,2018,18,dance pop
0.0956,0.708,201707,0.648,45Egmo7icyopuzJN0oMEdk,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.33799999999999997,85,2018,19,pop
0.04,0.6990000000000001,205920,0.713,2qT1uLXPVPzGgFOx4jtEuo,3.11e-06,9,0.294,-5.5070000000000014,0,0.0594,121.993,4,0.354,89,2018,20,dance pop
0.0161,0.71,131064,0.789,7uzmGiiJyRfuViKKK3lVmR,2.77e-06,4,0.451,-3.8739999999999997,1,0.0722,142.929,4,0.7170000000000001,86,2018,21,dance pop
0.00671,0.605,187147,0.8220000000000001,1zB4vmk8tFRmM9UULNzbLB,0.134,0,0.147,-4.833,1,0.0438,167.997,4,0.28800000000000003,88,2018,22,modern rock
0.0010400000000000001,0.922,181263,0.581,4qKcDkK6siZ7Jp1Jb4m0aL,5.8599999999999995e-05,10,0.105,-7.495,1,0.27,140.02200000000002,4,0.595,86,2018,23,hip hop
0.21600000000000005,0.75,232253,0.40399999999999997,6NFyWDv5CjfwuzoCkw47Xf,0.000357,9,0.0911,-10.177999999999999,0,0.0682,95.045,4,0.0499,80,2018,24,dance pop
0.035,0.9640000000000001,142273,0.34600000000000003,6vN77lE9LK6HP2DewaN6HZ,0.0,5,0.10800000000000001,-9.309,0,0.53,119.958,4,0.562,85,2018,25,atl hip hop
0.205,0.626,202621,0.88,08bNPGLD8AhKpnnERrAc6G,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534,87,2018,26,brostep
0.0604,0.675,181279,0.7509999999999999,7y9iMe8SOB6z3NoHE2OfXl,0.0,0,0.0893,-3.5389999999999997,1,0.0296,118.384,4,0.612,81,2018,27,dance pop
0.0236,0.884,232959,0.5589999999999999,5IaHrVsrferBYDm0bDyABy,0.0,0,0.10099999999999999,-7.442,1,0.12,97.994,4,0.342,89,2018,28,hip hop
0.298,0.6559999999999999,212120,0.721,52okn5MNA47tk87PeZJLEL,0.0,5,0.17300000000000001,-5.665,0,0.122,148.066,4,0.46799999999999997,84,2018,29,hip hop
0.0117,0.838,245387,0.7709999999999999,2Xqd0wUttjueBfdcltADOv,0.0,1,0.0853,-3.7910000000000004,1,0.244,175.957,4,0.405,78,2018,30,hip hop
0.08800000000000001,0.9309999999999999,179405,0.387,4QIyEq7TcTdAcxjI2AFlAK,0.0,1,0.136,-9.127,1,0.41200000000000003,125.978,4,0.376,85,2018,31,emo rap
