acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.0732,https://api.spotify.com/v1/audio-analysis/6IdiuMw1FSAvU3e6bgWQVX,0.692,203872,0.63,6IdiuMw1FSAvU3e6bgWQVX,0,8,0.0865,-6.792,1,0.164,0.38074375,110.919,5,https://api.spotify.com/v1/tracks/6IdiuMw1FSAvU3e6bgWQVX,audio_features,spotify:track:6IdiuMw1FSAvU3e6bgWQVX,0.499,
0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94E-06,8,0.0574,-2.652,0,0.0593,0.27493125,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656,
0.103,https://api.spotify.com/v1/audio-analysis/5L1HQLXeih82ecmY0tOH7w,0.741,174616,0.744,5L1HQLXeih82ecmY0tOH7w,0,7,0.0852,-4.099,0,0.0472,0.22491875,85.987,4,https://api.spotify.com/v1/tracks/5L1HQLXeih82ecmY0tOH7w,audio_features,spotify:track:5L1HQLXeih82ecmY0tOH7w,0.898,
0.0671,https://api.spotify.com/v1/audio-analysis/2aPnpV1hT7l3eP10uSGK6c,0.794,189344,0.702,2aPnpV1hT7l3eP10uSGK6c,0,6,0.155,-5.656,0,0.0346,0.4496125,121.938,4,https://api.spotify.com/v1/tracks/2aPnpV1hT7l3eP10uSGK6c,audio_features,spotify:track:2aPnpV1hT7l3eP10uSGK6c,0.535,
0.632,https://api.spotify.com/v1/audio-analysis/0psAGFzUF64N2Ae4gMExzu,0.659,219939,0.588,0psAGFzUF64N2Ae4gMExzu,0,0,0.124,-5.682,1,0.063,0.536775,135.884,4,https://api.spotify.com/v1/tracks/0psAGFzUF64N2Ae4gMExzu,audio_features,spotify:track:0psAGFzUF64N2Ae4gMExzu,0.297,
0.323,https://api.spotify.com/v1/audio-analysis/5iwz1NiezX7WWjnCgY5TH4,0.826,238200,0.773,5iwz1NiezX7WWjnCgY5TH4,0,11,0.143,-4.218,0,0.0524,0.48061875,126.899,4,https://api.spotify.com/v1/tracks/5iwz1NiezX7WWjnCgY5TH4,audio_features,spotify:track:5iwz1NiezX7WWjnCgY5TH4,0.761,
0.576,https://api.spotify.com/v1/audio-analysis/1jhHPnmgZepKU8qX4VhRZ0,0.505,240739,0.579,1jhHPnmgZepKU8qX4VhRZ0,0,2,0.0903,-7.231,1,0.0324,0.57284375,141.655,4,https://api.spotify.com/v1/tracks/1jhHPnmgZepKU8qX4VhRZ0,audio_features,spotify:track:1jhHPnmgZepKU8qX4VhRZ0,0.439,
0.0361,https://api.spotify.com/v1/audio-analysis/4szQkW1CDHqbRZGltXJdd3,0.729,195133,0.589,4szQkW1CDHqbRZGltXJdd3,0,3,0.305,-9.871,0,0.0483,0.28165625,95.065,4,https://api.spotify.com/v1/tracks/4szQkW1CDHqbRZGltXJdd3,audio_features,spotify:track:4szQkW1CDHqbRZGltXJdd3,0.349,
0.0867,https://api.spotify.com/v1/audio-analysis/2fkVZYFv9hOejIsLzZy8ad,0.755,186213,0.501,2fkVZYFv9hOejIsLzZy8ad,1.45E-06,1,0.146,-9.551,1,0.189,0.5312375,134.998,4,https://api.spotify.com/v1/tracks/2fkVZYFv9hOejIsLzZy8ad,audio_features,spotify:track:2fkVZYFv9hOejIsLzZy8ad,0.267,
0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436,0.704,25sgk305KZfyuqVBQIahim,0,1,0.166,-4.724,1,0.0476,0.5187625,133.002,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628,
