acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.165,0.792,201526,0.895,4QtiVmuA88tPQiCOHZuQ5b,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794
0.0328,0.726,173720,0.889,2hl6q70unbviGo3g1R7uFx,0,0,0.0925,-3.655,1,0.0429,96.024,4,0.649
0.323,0.767,258639,0.709,6FyRXC8tJUh863JCkyWqtk,0,1,0.0676,-4.47,1,0.336,171.993,4,0.72
0.291,0.788,207853,0.771,6MJUCumnQsQEKbCy28tbCP,5.62E-05,4,0.172,-3.206,0,0.0563,99.038,4,0.701
0.246,0.708,271080,0.693,22eADXu8DfOAUEDw4vU8qy,0,6,0.129,-5.516,1,0.138,143.965,4,0.427
0.0073,0.664,233293,0.576,61HHDBLqF3AmSvLfHKNGd2,6.28E-05,7,0.0912,-5.395,0,0.0349,134.934,4,0.121
0.0897,0.745,223613,0.921,5i50gKdLAjjIr7UxRT5IVy,0,0,0.178,-2.674,1,0.082,92.973,4,0.651
0.437,0.79,190005,0.631,1LiN0Z98FkR1t0m8KmLcAH,0,8,0.158,-5.549,0,0.0425,94.039,4,0.889
0.0481,0.686,227476,0.807,2zDj4WjbNDmrRL6Z4YjjCA,0,1,0.0652,-3.324,1,0.0613,183.971,4,0.63
0.0131,0.668,180304,0.526,2Ab1wPTEqulaCGoBak1gUo,0,5,0.147,-6.174,0,0.0352,135.032,4,0.42
0.614,0.845,187213,0.663,6rbhaJsE4uLzpPf8WYSHDK,0,10,0.114,-5.233,0,0.27,94.215,4,0.508
0.589,0.825,327467,0.69,59PYgzOiOjGDzjDT5N5oOX,0,10,0.413,-4.252,0,0.226,94.194,4,0.516
0.498,0.676,172767,0.844,5EKHbW7mXcAR4hCyS3YXjb,0,7,0.866,-3.396,1,0.109,159.969,4,0.716
0.184,0.8,226200,0.74,7BuHdm4lQqcyG3qTwdkxus,0,10,0.0558,-4.52,0,0.0479,90.035,4,0.775
0.947,0.528,187653,0.486,1AVu7Kc2MRrLfOG1RCEf07,1.28E-06,7,0.119,-5.267,1,0.0528,107.906,4,0.251
0.163,0.817,207200,0.869,7lRsNbdOGykkMAgsqs4R1C,0.00226,6,0.0497,-4.791,1,0.18,96.029,4,0.561
0.327,0.7,235973,0.71,2IA8cFA46DkjgbsRG7kKbp,0,11,0.129,-4.835,1,0.0532,167.971,4,0.582
0.061,0.927,343150,0.665,4Km5HrUvYTaSUfiSGPJeQR,0,11,0.123,-5.313,1,0.244,127.076,4,0.175
0.0361,0.816,158400,0.754,7uH27oIt4a6cIFCA8ZPcyG,0,11,0.217,-2.75,0,0.111,99.966,4,0.533
0.172,0.635,217822,0.902,4KkUjFkcQvGvWekl8RATDn,0,0,0.125,-3.559,1,0.109,102.063,4,0.286
0.228,0.635,204701,0.713,0ERbK7qVqveCaBWIiYCrl3,0,11,0.0506,-6.909,1,0.0937,179.864,4,0.749
0.0345,0.724,181048,0.809,13X0XdLMOdtbXVtAj2ox4h,0,7,0.169,-4.96,1,0.056,95.037,4,0.496
0.22,0.834,193440,0.777,1OUPXna2MCgAt3VNmXJBtg,0.00609,5,0.335,-4.538,0,0.0593,129.984,4,0.865
0.0106,0.782,265747,0.868,693iqPOQvhI7PobtR8CC8v,0.00252,5,0.29,-1.715,0,0.04,96.042,4,0.884
0.616,0.8,228493,0.355,7dNwJbsT0sg1le5kVugGJb,0,6,0.118,-10.47,0,0.0895,145.929,4,0.253
0.323,0.826,238200,0.773,5iwz1NiezX7WWjnCgY5TH4,0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
0.138,0.866,200347,0.859,4178A5NkEjcsGc64jpBO6d,0,1,0.401,-3.087,0,0.0587,109.972,4,0.923
0.159,0.626,187000,0.768,6VMAFT0zfide2Jg8MVZAPz,0.000186,10,0.0848,-4.653,0,0.166,80.066,4,0.753
0.352,0.746,179693,0.703,33zcmmElV1YbRZe57biUjg,0,4,0.331,-4.179,0,0.107,166.043,4,0.667
0.187,0.852,195840,0.773,6mICuAdrwEjh6Y6lroV2Kg,3.05E-05,8,0.159,-2.921,0,0.0776,102.034,4,0.907
0.216,0.84,221214,0.596,2r77vqSZkOktTSgmAOoHsV,0,6,0.0897,-4.319,0,0.0918,139.937,4,0.71
0.39,0.766,231921,0.822,7DrluKkTviBwCc8AV3VGmf,3.37E-05,1,0.349,-4.126,0,0.16,165.842,4,0.881
0.11,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94E-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656
0.154,0.715,212493,0.872,1mT47pKLXUwPYGwB91GcNz,0.000146,6,0.11,-3.501,1,0.0547,96.939,4,0.682
0.307,0.772,254383,0.732,2XXMDz7SPZ4mSFN1PXfHUy,5.14E-06,9,0.106,-3.713,0,0.213,100.048,4,0.295
0.94,0.573,233930,0.31,3RD0PGolM0mETGHaprwgMn,5.65E-06,3,0.198,-11.134,1,0.296,177.601,4,0.764
0.0482,0.681,220117,0.788,1j6xOGusnyXq3l6IryKF3G,0,1,0.0753,-4.323,1,0.0785,170.019,4,0.839
0.0322,0.665,209355,0.86,2CWnuF7ht55Ajyeg4WPvWu,0,4,0.281,-3.921,0,0.0761,139.973,4,0.372
0.548,0.629,195484,0.581,0m0Ew7RcwZaBS8psxgE00P,0,1,0.127,-7.541,0,0.0577,123.982,4,0.388
0.146,0.709,204453,0.771,0s5DNDV6LAKn2u2Ufa3VjQ,3.29E-06,7,0.249,-4.598,1,0.166,174.006,4,0.709
0.229,0.694,228827,0.815,5CtI0qwDJkDQGwXD1H1cLb,0,2,0.0924,-4.328,1,0.12,88.931,4,0.813
0.209,0.66,228200,0.786,4aWmUDTfIPGksMNLV2rQP2,0,2,0.112,-4.757,1,0.17,177.833,4,0.846
0.292,0.886,219029,0.701,6qP73DRFGojLuIk1siIhNE,1.16E-05,7,0.0574,-3.504,1,0.141,103.002,4,0.823
0.0101,0.823,183046,0.56,63THFs9ovzO3WQsz4lzh0H,2.86E-05,10,0.126,-7.057,0,0.0629,146.958,4,0.371
0.183,0.791,200480,0.848,6KuqAtoeVzxAYOaMveLNpH,0,1,0.409,-3.456,1,0.0506,95,4,0.828
0.188,0.772,242160,0.803,6U2NuJILEOEpW2tVCuqKHb,0,1,0.434,-3.035,1,0.0468,94.981,4,0.853
0.111,0.769,207720,0.721,31M5m42C3EGlbydf9XB5to,5.90E-05,10,0.0505,-4.483,0,0.153,94.978,4,0.618
0.555,0.56,173800,0.68,0d2iYfpKoM0QCKvcLCkBao,0,6,0.116,-7.648,0,0.321,89.391,4,0.319
0.205,0.74,219600,0.74,2XVilv6s9GETnw9PG4T9Mz,0,5,0.107,-3.647,0,0.0686,93.95,4,0.717
0.265,0.75,219357,0.665,3f5lA8nnc4YYF1qf78WpHw,0,8,0.0515,-3.083,1,0.124,95.239,4,0.697
0.0245,0.747,232787,0.864,2cnKEkpVUSV4wnjQiTWfH6,4.46E-05,8,0.0853,-3.181,0,0.0599,92.028,4,0.754
0.113,0.805,219302,0.671,3g4UyIcQwutiG0TfW32GnX,0,5,0.278,-5.316,1,0.111,90.979,4,0.522
0.266,0.817,215151,0.74,2wRkBumdItthjYP9XknImg,0,11,0.0992,-4.566,0,0.283,130.04,4,0.674
0.831,0.793,208080,0.557,7glCSQqV5o6NU88Cn4zPZn,4.45E-06,9,0.103,-5.618,0,0.1,120.118,4,0.468
0.394,0.637,228615,0.799,3p6hnejEQYXkiTO1lAzVc0,0,2,0.0921,-4.519,1,0.0338,104.995,4,0.562
0.00267,0.557,242334,0.719,3aW0ds4A4tSQDIp75FqWTo,0,2,0.306,-4.515,0,0.0372,77.501,4,0.344
0.111,0.935,145627,0.552,1ThmUihH9dF8EV08ku5AXN,0,10,0.0952,-9.373,0,0.335,99.993,4,0.615
0.231,0.755,229849,0.789,0qYTZCo5Bwh1nsUFGZP3zn,0,5,0.351,-4.502,1,0.146,93.973,4,0.737
0.387,0.73,172321,0.725,4AgK0CwpwcekXVdAoYB2VO,0,10,0.153,-4.889,0,0.318,79.648,4,0.625
0.498,0.864,215963,0.426,5NPzbTzFxIQPaheZuPhn4f,0.000228,7,0.145,-8.392,0,0.0561,129.954,4,0.477
0.217,0.928,162997,0.402,5iIgIxtMNeogKaFUfvuAbs,3.38E-05,10,0.0957,-10.641,0,0.32,97.976,4,0.578
0.678,0.663,157076,0.685,5ojNTROUJJgCFFbdD3xTZn,0,5,0.122,-6.163,0,0.163,137.834,4,0.312
0.233,0.784,166725,0.654,3aYAAXlB1yvUs5MJ0FI3bh,0,5,0.163,-6.674,1,0.283,98.036,4,0.661
0.0309,0.792,205520,0.819,209gZgcfLq2aUuu51vOWBl,0,5,0.389,-5.418,1,0.0867,89.98,4,0.433
0.303,0.79,192000,0.858,6XBjCetHKdO5L9cwMDVffw,0,2,0.61,-2.78,1,0.0471,92.05,4,0.79
0.379,0.737,153308,0.75,260R90ctQ1SiPax90PuEsT,0,8,0.131,-6.464,1,0.298,81.955,4,0.857
0.252,0.837,184436,0.791,31UjYv5vLsDkzchJOtUMtW,1.14E-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618
0.404,0.541,158027,0.468,1WSGTYKLEpKfNQYYW5Oymt,3.65E-06,10,0.358,-4.039,0,0.362,95.266,4,0.69
0.00852,0.51,240339,0.842,0EQMrxdeiBhry9JCxskko3,0,11,0.346,-2.782,0,0.103,87.605,4,0.302
0.254,0.691,200747,0.71,1h9P5WJwyvK8OB7O2YiXgp,0,5,0.108,-5.144,1,0.334,192.046,4,0.726
0.00219,0.709,260234,0.857,03iCbZaM4OkRR4We6wIzvx,0,9,0.103,-3.394,1,0.0881,126.038,4,0.446
0.333,0.737,234829,0.709,6r46lnXFbE9fr2d3KNaGbe,0,8,0.289,-6.889,0,0.045,125.997,4,0.556
0.122,0.786,163880,0.764,3ao3OVxHlb3C08vAaApUlm,0,11,0.102,-2.935,1,0.0798,90.979,4,0.913
0.0294,0.702,205209,0.844,19MBk3PbNFE36wqIqkMq9H,0,6,0.38,-4.054,0,0.0769,100.043,4,0.786
0.16,0.769,249609,0.838,0VKkyBKCXyR99navhVRqcP,0,2,0.0935,-5.238,1,0.0633,93.996,4,0.602
0.279,0.612,222101,0.687,0NmyHZZMfVBiUSOfDmz9Bf,0,0,0.209,-7.093,1,0.182,99.939,4,0.305
0.116,0.685,204520,0.859,4okba5wu9mMLXx79DXLKi3,0,5,0.317,-2.595,0,0.0553,176.018,4,0.891
0.226,0.69,252200,0.872,4N1c5rmWOzRmB9SMacr5wB,0,11,0.0858,-2.984,0,0.0588,94,4,0.731
0.138,0.878,190909,0.555,0r9d60ZYPAlFHq8qnUtkXN,1.34E-06,1,0.151,-7.639,0,0.202,88.029,4,0.751
0.31,0.749,183753,0.752,62o8KoI44JfN7aYxgTnPvh,0,6,0.232,-4.883,1,0.345,180.049,4,0.901
0.141,0.743,202453,0.855,7JNh1cfm0eXjqFVOzKLyau,0.0045,5,0.099,-3.976,0,0.0436,96.989,4,0.871
0.0273,0.8,170133,0.841,17UUYZ290omPaJY4wKeyHh,0,5,0.291,-2.817,0,0.0524,94.021,4,0.798
0.547,0.76,210323,0.838,5hEM0JchdVzQ5PwvSfITeX,1.30E-06,7,0.0664,-3.828,0,0.0529,93.05,4,0.745
0.0543,0.777,221653,0.779,6jA8JUuPCGYjFcgw0AoM5T,0,0,0.636,-4.449,0,0.0972,94.023,4,0.768
0.0231,0.744,205715,0.804,6De0lHrwBfPfrhorm9q1Xl,0,1,0.0494,-6.327,1,0.0677,104.823,4,0.426
0.0849,0.751,159518,0.529,5d35jcJj7WjDQBOHCHPY6t,0,11,0.0944,-7.407,0,0.143,100.262,4,0.33
0.299,0.815,196320,0.784,38QmUDpkoYlNbMKvpvAsrE,0,9,0.0958,-4.423,1,0.0738,162.958,4,0.832
0.0148,0.543,189440,0.677,2rb5MvYT7ZIxbKW5hfcHx8,6.21E-06,11,0.13,-4.915,0,0.0993,103.809,4,0.294
0.0161,0.71,131064,0.789,7uzmGiiJyRfuViKKK3lVmR,2.77E-06,4,0.451,-3.874,1,0.0722,142.929,4,0.717
