acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,0.5120375,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578
0.762,https://api.spotify.com/v1/audio-analysis/3rM7bxaGhahPf0bhRBlrXM,0.72,201107,0.722,3rM7bxaGhahPf0bhRBlrXM,0,1,0.0706,-6.621,0,0.174,0.487325,127.972,4,https://api.spotify.com/v1/tracks/3rM7bxaGhahPf0bhRBlrXM,audio_features,spotify:track:3rM7bxaGhahPf0bhRBlrXM,0.686
0.285,https://api.spotify.com/v1/audio-analysis/4glBRF3uJCf3bTG4hhIhpn,0.487,211800,0.519,4glBRF3uJCf3bTG4hhIhpn,1.41E-06,9,0.0973,-11.125,0,0.255,0.87546875,190.075,3,https://api.spotify.com/v1/tracks/4glBRF3uJCf3bTG4hhIhpn,audio_features,spotify:track:4glBRF3uJCf3bTG4hhIhpn,0.242
0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0,7,0.231,-6.362,1,0.0308,0.28624375,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143,0.395,4SSnFejRGlZikf02HLewEF,0.14,8,0.106,-14.645,1,0.324,0.4378625,120.058,4,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0,1,0.0881,-10.732,0,0.334,0.5628,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
0.533,https://api.spotify.com/v1/audio-analysis/72sOrgrynSH73z4E41Ed0i,0.802,163413,0.412,72sOrgrynSH73z4E41Ed0i,0,9,0.0774,-9.593,0,0.157,0.47495,125.992,4,https://api.spotify.com/v1/tracks/72sOrgrynSH73z4E41Ed0i,audio_features,spotify:track:72sOrgrynSH73z4E41Ed0i,0.709
0.389,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,0.85,221543,0.353,3Fj47GNK2kUF0uaEDgXLaD,6.68E-06,7,0.8,-10.267,1,0.334,0.42544375,118.071,4,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,audio_features,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.329
0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040,0.734,4y3OI86AEP6PQoDE6olYhO,0,1,0.106,-5.065,0,0.0588,0.5497375,137.958,4,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952
0.296,https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8,0.674,178480,0.881,5WHTFyqSii0lmT9R21abT8,3.01E-06,9,0.0793,-2.853,1,0.147,0.3062125,98.994,4,https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8,audio_features,spotify:track:5WHTFyqSii0lmT9R21abT8,0.234
0.0298,https://api.spotify.com/v1/audio-analysis/2hyh9YvwFB0cGjvyGk6Sxo,0.718,173617,0.556,2hyh9YvwFB0cGjvyGk6Sxo,0,11,0.337,-10.182,0,0.31,0.27475,93.96,4,https://api.spotify.com/v1/tracks/2hyh9YvwFB0cGjvyGk6Sxo,audio_features,spotify:track:2hyh9YvwFB0cGjvyGk6Sxo,0.398
0.0665,https://api.spotify.com/v1/audio-analysis/1lr5prHQn7Q766Ix6eGRKK,0.789,161453,0.758,1lr5prHQn7Q766Ix6eGRKK,0,2,0.0711,-4.957,0,0.114,0.475,126,4,https://api.spotify.com/v1/tracks/1lr5prHQn7Q766Ix6eGRKK,audio_features,spotify:track:1lr5prHQn7Q766Ix6eGRKK,0.147
0.978,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,0.454,196077,0.111,43zdsphuZLzwA9k4DJhU0I,5.89E-05,4,0.0898,-14.038,1,0.0635,0.46346875,124.155,3,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,audio_features,spotify:track:43zdsphuZLzwA9k4DJhU0I,0.187
0.314,https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn,0.755,189052,0.858,4pUCKHjJ4Ijewc37rRrvHn,0.00318,2,0.301,-4.119,1,0.198,0.5130125,132.082,4,https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn,audio_features,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,0.57
0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436,0.704,25sgk305KZfyuqVBQIahim,0,1,0.166,-4.724,1,0.0476,0.5187625,133.002,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628
0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,190947,0.904,1rqqCSm0Qe4I9rUvWncaom,0,5,0.064,-2.729,1,0.0618,0.2000875,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.681
