acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578
0.0361,https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O,0.908,113013,0.517,53CJANUxooaqGOtdsBTh7O,1.73e-06,1,0.0949,-6.063,1,0.129,136.019,4,https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O,audio_features,spotify:track:53CJANUxooaqGOtdsBTh7O,0.471
0.389,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,0.85,221543,0.353,3Fj47GNK2kUF0uaEDgXLaD,6.68e-06,7,0.8,-10.267,1,0.334,118.071,4,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,audio_features,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.329
0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040,0.734,4y3OI86AEP6PQoDE6olYhO,0.0,1,0.106,-5.065,0,0.0588,137.958,4,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952
0.051,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,0.901,197573,0.4,6TqXcAFInzjp0bODyvrWEq,0.0,0,0.0599,-8.575,1,0.126,135.984,4,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,audio_features,spotify:track:6TqXcAFInzjp0bODyvrWEq,0.346
0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913
0.223,https://api.spotify.com/v1/audio-analysis/1tNJrcVe6gwLEiZCtprs1u,0.815,177667,0.518,1tNJrcVe6gwLEiZCtprs1u,0.0,7,0.104,-6.594,0,0.0897,151.891,4,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u,audio_features,spotify:track:1tNJrcVe6gwLEiZCtprs1u,0.877
0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,149520,0.539,6MWtB6iiXyIwun0YzU6DFP,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.385
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143,0.395,4SSnFejRGlZikf02HLewEF,0.14,8,0.106,-14.645,1,0.324,120.058,4,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162
0.0533,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,0.878,157067,0.619,6u7jPi22kF8CTQ3rb9DHE7,0.0,6,0.113,-5.56,1,0.102,136.041,4,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,audio_features,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,0.639
