acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.236,https://api.spotify.com/v1/audio-analysis/5xIODxqlpUnRVA9ewZUCug,0.645,182522,0.774,5xIODxqlpUnRVA9ewZUCug,0.0,6,0.128,-4.839,0,0.344,86.692,4,https://api.spotify.com/v1/tracks/5xIODxqlpUnRVA9ewZUCug,audio_features,spotify:track:5xIODxqlpUnRVA9ewZUCug,0.635
0.877,https://api.spotify.com/v1/audio-analysis/3r1cV21xPMkgCmxk8VqWOB,0.838,135597,0.549,3r1cV21xPMkgCmxk8VqWOB,0.000964,9,0.115,-7.145,0,0.0755,114.445,4,https://api.spotify.com/v1/tracks/3r1cV21xPMkgCmxk8VqWOB,audio_features,spotify:track:3r1cV21xPMkgCmxk8VqWOB,0.654
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578
0.013,https://api.spotify.com/v1/audio-analysis/1L8LtC2s161XwY6YrtnQjw,0.819,173220,0.674,1L8LtC2s161XwY6YrtnQjw,0.0,6,0.384,-4.663,1,0.327,115.897,5,https://api.spotify.com/v1/tracks/1L8LtC2s161XwY6YrtnQjw,audio_features,spotify:track:1L8LtC2s161XwY6YrtnQjw,0.766
0.275,https://api.spotify.com/v1/audio-analysis/1mdJ39D1lrR3aWIOhgeNaE,0.63,203067,0.692,1mdJ39D1lrR3aWIOhgeNaE,0.0,7,0.167,-4.951,0,0.427,179.877,4,https://api.spotify.com/v1/tracks/1mdJ39D1lrR3aWIOhgeNaE,audio_features,spotify:track:1mdJ39D1lrR3aWIOhgeNaE,0.82
0.25,https://api.spotify.com/v1/audio-analysis/4cawYWrqMRz0T0hOIVxk6j,0.805,156497,0.625,4cawYWrqMRz0T0hOIVxk6j,0.00527,5,0.0954,-8.589,0,0.0434,102.996,4,https://api.spotify.com/v1/tracks/4cawYWrqMRz0T0hOIVxk6j,audio_features,spotify:track:4cawYWrqMRz0T0hOIVxk6j,0.647
0.176,https://api.spotify.com/v1/audio-analysis/0oOPa0AlLnjCO6eci0HIdH,0.515,190000,0.59,0oOPa0AlLnjCO6eci0HIdH,2.47e-06,2,0.141,-6.761,0,0.217,99.785,4,https://api.spotify.com/v1/tracks/0oOPa0AlLnjCO6eci0HIdH,audio_features,spotify:track:0oOPa0AlLnjCO6eci0HIdH,0.374
0.0662,https://api.spotify.com/v1/audio-analysis/200cTjC6si5Xz9af2QeHi2,0.77,172827,0.797,200cTjC6si5Xz9af2QeHi2,3.81e-06,10,0.0858,-4.985,0,0.0693,100.003,4,https://api.spotify.com/v1/tracks/200cTjC6si5Xz9af2QeHi2,audio_features,spotify:track:200cTjC6si5Xz9af2QeHi2,0.393
0.31,https://api.spotify.com/v1/audio-analysis/0ypCvaP431mEM6znlVHNRP,0.687,193573,0.766,0ypCvaP431mEM6znlVHNRP,0.0,9,0.196,-6.739,0,0.105,140.039,4,https://api.spotify.com/v1/tracks/0ypCvaP431mEM6znlVHNRP,audio_features,spotify:track:0ypCvaP431mEM6znlVHNRP,0.629
0.123,https://api.spotify.com/v1/audio-analysis/3UDsmMZsEMsvM82OcdqJWu,0.732,160096,0.746,3UDsmMZsEMsvM82OcdqJWu,0.0,3,0.097,-6.229,0,0.275,159.881,4,https://api.spotify.com/v1/tracks/3UDsmMZsEMsvM82OcdqJWu,audio_features,spotify:track:3UDsmMZsEMsvM82OcdqJWu,0.927
0.207,https://api.spotify.com/v1/audio-analysis/2YC4rnhpt0sTIUcrIRHZSQ,0.866,174326,0.467,2YC4rnhpt0sTIUcrIRHZSQ,1.92e-06,9,0.161,-7.642,0,0.278,85.083,4,https://api.spotify.com/v1/tracks/2YC4rnhpt0sTIUcrIRHZSQ,audio_features,spotify:track:2YC4rnhpt0sTIUcrIRHZSQ,0.513
0.146,https://api.spotify.com/v1/audio-analysis/5NsCv3I7o0f6vSQScG01f1,0.592,209449,0.572,5NsCv3I7o0f6vSQScG01f1,0.000172,5,0.115,-8.974,0,0.185,164.08,4,https://api.spotify.com/v1/tracks/5NsCv3I7o0f6vSQScG01f1,audio_features,spotify:track:5NsCv3I7o0f6vSQScG01f1,0.315
0.224,https://api.spotify.com/v1/audio-analysis/2pu5rVWy3zPlgypJzL3Mlw,0.845,202053,0.509,2pu5rVWy3zPlgypJzL3Mlw,0.0,7,0.171,-7.294,1,0.102,123.067,4,https://api.spotify.com/v1/tracks/2pu5rVWy3zPlgypJzL3Mlw,audio_features,spotify:track:2pu5rVWy3zPlgypJzL3Mlw,0.282
0.275,https://api.spotify.com/v1/audio-analysis/0EDSU9JYeKABA14OcOuM7b,0.714,170200,0.817,0EDSU9JYeKABA14OcOuM7b,0.0,1,0.14,-3.987,0,0.435,174.1,4,https://api.spotify.com/v1/tracks/0EDSU9JYeKABA14OcOuM7b,audio_features,spotify:track:0EDSU9JYeKABA14OcOuM7b,0.408
0.0519,https://api.spotify.com/v1/audio-analysis/4BD9yUEFI07WaDJ381DDMq,0.828,253346,0.686,4BD9yUEFI07WaDJ381DDMq,2.23e-06,2,0.11,-5.242,1,0.264,156.033,4,https://api.spotify.com/v1/tracks/4BD9yUEFI07WaDJ381DDMq,audio_features,spotify:track:4BD9yUEFI07WaDJ381DDMq,0.544
0.519,https://api.spotify.com/v1/audio-analysis/7r55d7IhAj5UGKiYbXBwRP,0.732,178000,0.583,7r55d7IhAj5UGKiYbXBwRP,1.97e-05,7,0.108,-6.766,1,0.125,100.464,4,https://api.spotify.com/v1/tracks/7r55d7IhAj5UGKiYbXBwRP,audio_features,spotify:track:7r55d7IhAj5UGKiYbXBwRP,0.277
0.03,https://api.spotify.com/v1/audio-analysis/6BZhkqUtaFJm57Hm5TTQSH,0.652,158282,0.702,6BZhkqUtaFJm57Hm5TTQSH,0.0,4,0.0831,-8.124,1,0.0803,151.995,4,https://api.spotify.com/v1/tracks/6BZhkqUtaFJm57Hm5TTQSH,audio_features,spotify:track:6BZhkqUtaFJm57Hm5TTQSH,0.82
0.217,https://api.spotify.com/v1/audio-analysis/5iIgIxtMNeogKaFUfvuAbs,0.928,162997,0.402,5iIgIxtMNeogKaFUfvuAbs,3.38e-05,10,0.0957,-10.641,0,0.32,97.976,4,https://api.spotify.com/v1/tracks/5iIgIxtMNeogKaFUfvuAbs,audio_features,spotify:track:5iIgIxtMNeogKaFUfvuAbs,0.578
0.0361,https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O,0.908,113013,0.517,53CJANUxooaqGOtdsBTh7O,1.73e-06,1,0.0949,-6.063,1,0.129,136.019,4,https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O,audio_features,spotify:track:53CJANUxooaqGOtdsBTh7O,0.471
0.594,https://api.spotify.com/v1/audio-analysis/3YxCKq3YPnTekAofhaHABZ,0.712,137587,0.619,3YxCKq3YPnTekAofhaHABZ,0.0,10,0.12,-8.287,0,0.269,82.101,4,https://api.spotify.com/v1/tracks/3YxCKq3YPnTekAofhaHABZ,audio_features,spotify:track:3YxCKq3YPnTekAofhaHABZ,0.579
0.391,https://api.spotify.com/v1/audio-analysis/4UOXo3xWnxYdTf3sFyRaUG,0.805,181971,0.924,4UOXo3xWnxYdTf3sFyRaUG,0.00448,7,0.0902,-5.883,0,0.0439,139.976,4,https://api.spotify.com/v1/tracks/4UOXo3xWnxYdTf3sFyRaUG,audio_features,spotify:track:4UOXo3xWnxYdTf3sFyRaUG,0.836
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143,0.395,4SSnFejRGlZikf02HLewEF,0.14,8,0.106,-14.645,1,0.324,120.058,4,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162
0.296,https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8,0.674,178480,0.881,5WHTFyqSii0lmT9R21abT8,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8,audio_features,spotify:track:5WHTFyqSii0lmT9R21abT8,0.234
0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656
0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436,0.704,25sgk305KZfyuqVBQIahim,0.0,1,0.166,-4.724,1,0.0476,133.002,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628
0.389,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,0.85,221543,0.353,3Fj47GNK2kUF0uaEDgXLaD,6.68e-06,7,0.8,-10.267,1,0.334,118.071,4,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,audio_features,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.329
0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040,0.734,4y3OI86AEP6PQoDE6olYhO,0.0,1,0.106,-5.065,0,0.0588,137.958,4,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952
0.485,https://api.spotify.com/v1/audio-analysis/7KPGeiXWDsGEvFK62wzU8E,0.783,159152,0.692,7KPGeiXWDsGEvFK62wzU8E,0.0,10,0.12,-6.156,0,0.329,100.082,4,https://api.spotify.com/v1/tracks/7KPGeiXWDsGEvFK62wzU8E,audio_features,spotify:track:7KPGeiXWDsGEvFK62wzU8E,0.26
0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,190947,0.904,1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,1,0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.681
0.398,https://api.spotify.com/v1/audio-analysis/0dmrz4V5kiezQAqQ3VqGob,0.743,153560,0.742,0dmrz4V5kiezQAqQ3VqGob,0.0,5,0.136,-6.457,0,0.181,163.979,4,https://api.spotify.com/v1/tracks/0dmrz4V5kiezQAqQ3VqGob,audio_features,spotify:track:0dmrz4V5kiezQAqQ3VqGob,0.851
0.0722,https://api.spotify.com/v1/audio-analysis/2RSHsoi04658QL5xgQVov3,0.383,260773,0.637,2RSHsoi04658QL5xgQVov3,0.0,3,0.368,-6.993,1,0.0703,177.913,4,https://api.spotify.com/v1/tracks/2RSHsoi04658QL5xgQVov3,audio_features,spotify:track:2RSHsoi04658QL5xgQVov3,0.0827
0.159,https://api.spotify.com/v1/audio-analysis/6VMAFT0zfide2Jg8MVZAPz,0.626,187000,0.768,6VMAFT0zfide2Jg8MVZAPz,0.000186,10,0.0848,-4.653,0,0.166,80.066,4,https://api.spotify.com/v1/tracks/6VMAFT0zfide2Jg8MVZAPz,audio_features,spotify:track:6VMAFT0zfide2Jg8MVZAPz,0.753
0.481,https://api.spotify.com/v1/audio-analysis/1uNzKXVNwq7jwV0rhjXqLB,0.636,160613,0.593,1uNzKXVNwq7jwV0rhjXqLB,0.0,10,0.114,-8.798,0,0.296,170.226,4,https://api.spotify.com/v1/tracks/1uNzKXVNwq7jwV0rhjXqLB,audio_features,spotify:track:1uNzKXVNwq7jwV0rhjXqLB,0.527
0.387,https://api.spotify.com/v1/audio-analysis/4AgK0CwpwcekXVdAoYB2VO,0.73,172321,0.725,4AgK0CwpwcekXVdAoYB2VO,0.0,10,0.153,-4.889,0,0.318,79.648,4,https://api.spotify.com/v1/tracks/4AgK0CwpwcekXVdAoYB2VO,audio_features,spotify:track:4AgK0CwpwcekXVdAoYB2VO,0.625
