acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.945,https://api.spotify.com/v1/audio-analysis/2x8TNY9KwNvD19gVGs4WOP,0.632,204931,0.398,2x8TNY9KwNvD19gVGs4WOP,0.0,6,0.228,-6.615,1,0.373,90.695,4,https://api.spotify.com/v1/tracks/2x8TNY9KwNvD19gVGs4WOP,audio_features,spotify:track:2x8TNY9KwNvD19gVGs4WOP,0.633
0.309,https://api.spotify.com/v1/audio-analysis/5eMmT4Ava5BGThju0AD8vQ,0.901,203740,0.819,5eMmT4Ava5BGThju0AD8vQ,0.0,0,0.701,-1.874,1,0.051,129.935,4,https://api.spotify.com/v1/tracks/5eMmT4Ava5BGThju0AD8vQ,audio_features,spotify:track:5eMmT4Ava5BGThju0AD8vQ,0.924
0.768,https://api.spotify.com/v1/audio-analysis/6sRLrSetyIwIKhW1eMlUNP,0.505,189059,0.721,6sRLrSetyIwIKhW1eMlUNP,0.0,1,0.869,-5.86,1,0.061,106.248,4,https://api.spotify.com/v1/tracks/6sRLrSetyIwIKhW1eMlUNP,audio_features,spotify:track:6sRLrSetyIwIKhW1eMlUNP,0.421
0.333,https://api.spotify.com/v1/audio-analysis/2H8ETIUEoN9YMf56X66bxd,0.705,160900,0.721,2H8ETIUEoN9YMf56X66bxd,0.0,1,0.101,-5.545,0,0.514,75.132,4,https://api.spotify.com/v1/tracks/2H8ETIUEoN9YMf56X66bxd,audio_features,spotify:track:2H8ETIUEoN9YMf56X66bxd,0.574
0.22,https://api.spotify.com/v1/audio-analysis/1OUPXna2MCgAt3VNmXJBtg,0.834,193440,0.777,1OUPXna2MCgAt3VNmXJBtg,0.00609,5,0.335,-4.538,0,0.0593,129.984,4,https://api.spotify.com/v1/tracks/1OUPXna2MCgAt3VNmXJBtg,audio_features,spotify:track:1OUPXna2MCgAt3VNmXJBtg,0.865
0.362,https://api.spotify.com/v1/audio-analysis/3RbXsVQr4jeTxvT35Hssq3,0.603,159780,0.804,3RbXsVQr4jeTxvT35Hssq3,0.0,0,0.743,-4.253,1,0.198,153.883,4,https://api.spotify.com/v1/tracks/3RbXsVQr4jeTxvT35Hssq3,audio_features,spotify:track:3RbXsVQr4jeTxvT35Hssq3,0.682
0.498,https://api.spotify.com/v1/audio-analysis/5EKHbW7mXcAR4hCyS3YXjb,0.676,172767,0.844,5EKHbW7mXcAR4hCyS3YXjb,0.0,7,0.866,-3.396,1,0.109,159.969,4,https://api.spotify.com/v1/tracks/5EKHbW7mXcAR4hCyS3YXjb,audio_features,spotify:track:5EKHbW7mXcAR4hCyS3YXjb,0.716
0.361,https://api.spotify.com/v1/audio-analysis/5pRGXCDY0eT6R1QicAn7Uk,0.707,179165,0.664,5pRGXCDY0eT6R1QicAn7Uk,0.0,2,0.331,-5.042,1,0.0382,124.991,4,https://api.spotify.com/v1/tracks/5pRGXCDY0eT6R1QicAn7Uk,audio_features,spotify:track:5pRGXCDY0eT6R1QicAn7Uk,0.674
0.151,https://api.spotify.com/v1/audio-analysis/7KdcbYcVF8LkQeQcTYOixJ,0.608,181512,0.729,7KdcbYcVF8LkQeQcTYOixJ,0.0,1,0.201,-7.4,1,0.128,165.959,4,https://api.spotify.com/v1/tracks/7KdcbYcVF8LkQeQcTYOixJ,audio_features,spotify:track:7KdcbYcVF8LkQeQcTYOixJ,0.431
0.483,https://api.spotify.com/v1/audio-analysis/7oEr56KG6odStlQH0nvdyr,0.493,187349,0.832,7oEr56KG6odStlQH0nvdyr,0.0,10,0.956,-3.42,1,0.201,157.964,4,https://api.spotify.com/v1/tracks/7oEr56KG6odStlQH0nvdyr,audio_features,spotify:track:7oEr56KG6odStlQH0nvdyr,0.599
0.652,https://api.spotify.com/v1/audio-analysis/6YjyT6MEMsMc41NNWk2dYg,0.663,175203,0.884,6YjyT6MEMsMc41NNWk2dYg,0.0,2,0.156,-3.4,0,0.0716,172.059,4,https://api.spotify.com/v1/tracks/6YjyT6MEMsMc41NNWk2dYg,audio_features,spotify:track:6YjyT6MEMsMc41NNWk2dYg,0.875
0.115,https://api.spotify.com/v1/audio-analysis/2lAyctg5FocS67eksHoyIg,0.815,147990,0.723,2lAyctg5FocS67eksHoyIg,0.0,6,0.184,-3.611,0,0.0574,149.918,4,https://api.spotify.com/v1/tracks/2lAyctg5FocS67eksHoyIg,audio_features,spotify:track:2lAyctg5FocS67eksHoyIg,0.896
0.917,https://api.spotify.com/v1/audio-analysis/7FiIQXpIeLo3ITfGGpb8PB,0.872,161600,0.971,7FiIQXpIeLo3ITfGGpb8PB,0.00143,6,0.121,-5.576,1,0.281,149.987,4,https://api.spotify.com/v1/tracks/7FiIQXpIeLo3ITfGGpb8PB,audio_features,spotify:track:7FiIQXpIeLo3ITfGGpb8PB,0.521
0.586,https://api.spotify.com/v1/audio-analysis/4eB8rsNNm5791m3uvEBNLR,0.757,173831,0.687,4eB8rsNNm5791m3uvEBNLR,0.0,1,0.111,-4.78,1,0.0658,117.927,4,https://api.spotify.com/v1/tracks/4eB8rsNNm5791m3uvEBNLR,audio_features,spotify:track:4eB8rsNNm5791m3uvEBNLR,0.583
0.167,https://api.spotify.com/v1/audio-analysis/6PqUdUGS4h5aGY7YyEGXr8,0.611,179457,0.835,6PqUdUGS4h5aGY7YyEGXr8,0.0,6,0.107,-4.107,1,0.139,102.023,4,https://api.spotify.com/v1/tracks/6PqUdUGS4h5aGY7YyEGXr8,audio_features,spotify:track:6PqUdUGS4h5aGY7YyEGXr8,0.672
0.125,https://api.spotify.com/v1/audio-analysis/1xyVMQx51Kab6eLVtE6twx,0.751,219442,0.709,1xyVMQx51Kab6eLVtE6twx,0.0,8,0.807,-4.216,1,0.0382,114.094,4,https://api.spotify.com/v1/tracks/1xyVMQx51Kab6eLVtE6twx,audio_features,spotify:track:1xyVMQx51Kab6eLVtE6twx,0.515
0.0331,https://api.spotify.com/v1/audio-analysis/0IQCOAw9ZAI6WnXIrl481F,0.65,177094,0.361,0IQCOAw9ZAI6WnXIrl481F,0.0,2,0.0978,-7.153,1,0.404,89.803,4,https://api.spotify.com/v1/tracks/0IQCOAw9ZAI6WnXIrl481F,audio_features,spotify:track:0IQCOAw9ZAI6WnXIrl481F,0.844
0.7,https://api.spotify.com/v1/audio-analysis/5yH8pYxNckOU1cxfPsMIaz,0.848,171998,0.933,5yH8pYxNckOU1cxfPsMIaz,2.81e-06,5,0.184,-3.306,0,0.106,139.998,4,https://api.spotify.com/v1/tracks/5yH8pYxNckOU1cxfPsMIaz,audio_features,spotify:track:5yH8pYxNckOU1cxfPsMIaz,0.506
0.277,https://api.spotify.com/v1/audio-analysis/0XEJ7eph2IWFYZc73Jm3n2,0.613,161404,0.794,0XEJ7eph2IWFYZc73Jm3n2,0.0,10,0.173,-4.518,1,0.0347,124.743,4,https://api.spotify.com/v1/tracks/0XEJ7eph2IWFYZc73Jm3n2,audio_features,spotify:track:0XEJ7eph2IWFYZc73Jm3n2,0.602
0.0195,https://api.spotify.com/v1/audio-analysis/2eSnW4d3A4SyEVhVPmBffa,0.752,195619,0.681,2eSnW4d3A4SyEVhVPmBffa,0.0,11,0.0353,-6.684,0,0.299,73.233,4,https://api.spotify.com/v1/tracks/2eSnW4d3A4SyEVhVPmBffa,audio_features,spotify:track:2eSnW4d3A4SyEVhVPmBffa,0.648
0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0.0,7,0.231,-6.362,1,0.0308,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323
0.778,https://api.spotify.com/v1/audio-analysis/2qkNnJvQvhLiZ63X1L3eFz,0.398,182341,0.838,2qkNnJvQvhLiZ63X1L3eFz,0.0,8,0.189,-4.734,0,0.13,156.008,3,https://api.spotify.com/v1/tracks/2qkNnJvQvhLiZ63X1L3eFz,audio_features,spotify:track:2qkNnJvQvhLiZ63X1L3eFz,0.206
0.495,https://api.spotify.com/v1/audio-analysis/2caDAj0O4uD8OlJ8bap9nz,0.606,169954,0.877,2caDAj0O4uD8OlJ8bap9nz,0.00177,1,0.958,-10.087,0,0.0735,150.045,4,https://api.spotify.com/v1/tracks/2caDAj0O4uD8OlJ8bap9nz,audio_features,spotify:track:2caDAj0O4uD8OlJ8bap9nz,0.767
0.509,https://api.spotify.com/v1/audio-analysis/5qm2otRZaeZaqdLVVohUjq,0.701,175671,0.852,5qm2otRZaeZaqdLVVohUjq,0.0,0,0.309,-4.03,1,0.126,144.837,4,https://api.spotify.com/v1/tracks/5qm2otRZaeZaqdLVVohUjq,audio_features,spotify:track:5qm2otRZaeZaqdLVVohUjq,0.607
0.0745,https://api.spotify.com/v1/audio-analysis/1qCLx3nX25NuhfPjM5E1qV,0.641,210889,0.614,1qCLx3nX25NuhfPjM5E1qV,0.0,7,0.093,-7.847,1,0.0532,81.011,4,https://api.spotify.com/v1/tracks/1qCLx3nX25NuhfPjM5E1qV,audio_features,spotify:track:1qCLx3nX25NuhfPjM5E1qV,0.727
0.329,https://api.spotify.com/v1/audio-analysis/7G2XZhDNHo7SSDWSVxC0UT,0.891,146276,0.805,7G2XZhDNHo7SSDWSVxC0UT,0.0,8,0.277,-5.836,0,0.0898,95.045,4,https://api.spotify.com/v1/tracks/7G2XZhDNHo7SSDWSVxC0UT,audio_features,spotify:track:7G2XZhDNHo7SSDWSVxC0UT,0.967
