acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.293,https://api.spotify.com/v1/audio-analysis/5lCxlSBFyP5g4EhVypAoOu,0.777,247161,0.698,5lCxlSBFyP5g4EhVypAoOu,2.32e-05,6,0.0908,-7.706,0,0.0704,119.963,4,https://api.spotify.com/v1/tracks/5lCxlSBFyP5g4EhVypAoOu,audio_features,spotify:track:5lCxlSBFyP5g4EhVypAoOu,0.119
0.143,https://api.spotify.com/v1/audio-analysis/6hzi3AGB39FjxFqcjgbWs7,0.794,247460,0.659,6hzi3AGB39FjxFqcjgbWs7,0.00224,7,0.0944,-7.063,0,0.0498,112.019,4,https://api.spotify.com/v1/tracks/6hzi3AGB39FjxFqcjgbWs7,audio_features,spotify:track:6hzi3AGB39FjxFqcjgbWs7,0.308
0.836,https://api.spotify.com/v1/audio-analysis/2aG2nLUd8NNI7vFuOLBCe0,0.501,281670,0.452,2aG2nLUd8NNI7vFuOLBCe0,2.11e-05,8,0.132,-7.867,1,0.0893,134.778,3,https://api.spotify.com/v1/tracks/2aG2nLUd8NNI7vFuOLBCe0,audio_features,spotify:track:2aG2nLUd8NNI7vFuOLBCe0,0.119
0.44,https://api.spotify.com/v1/audio-analysis/5n9NAd0Y5OUeOGU0nVtLua,0.745,314367,0.456,5n9NAd0Y5OUeOGU0nVtLua,0.0,8,0.072,-9.482,1,0.0874,94.032,4,https://api.spotify.com/v1/tracks/5n9NAd0Y5OUeOGU0nVtLua,audio_features,spotify:track:5n9NAd0Y5OUeOGU0nVtLua,0.124
0.23,https://api.spotify.com/v1/audio-analysis/295SxdR1DqunCNwd0U767w,0.798,254218,0.564,295SxdR1DqunCNwd0U767w,1.83e-05,2,0.183,-5.98,1,0.047,108.004,4,https://api.spotify.com/v1/tracks/295SxdR1DqunCNwd0U767w,audio_features,spotify:track:295SxdR1DqunCNwd0U767w,0.394
0.392,https://api.spotify.com/v1/audio-analysis/6YHnhfw8yMCx4vZvsgem3D,0.826,216285,0.76,6YHnhfw8yMCx4vZvsgem3D,0.0,11,0.132,-6.382,0,0.117,99.974,4,https://api.spotify.com/v1/tracks/6YHnhfw8yMCx4vZvsgem3D,audio_features,spotify:track:6YHnhfw8yMCx4vZvsgem3D,0.813
0.0696,https://api.spotify.com/v1/audio-analysis/5gqh2FMBquUEwDsRUU4pCF,0.909,249598,0.582,5gqh2FMBquUEwDsRUU4pCF,4.78e-05,7,0.0984,-5.357,1,0.0665,126.063,4,https://api.spotify.com/v1/tracks/5gqh2FMBquUEwDsRUU4pCF,audio_features,spotify:track:5gqh2FMBquUEwDsRUU4pCF,0.844
0.201,https://api.spotify.com/v1/audio-analysis/5Bj9llJ7xr70Ny2nWiSM6G,0.808,242466,0.709,5Bj9llJ7xr70Ny2nWiSM6G,0.00376,8,0.0947,-7.298,0,0.0426,114.978,4,https://api.spotify.com/v1/tracks/5Bj9llJ7xr70Ny2nWiSM6G,audio_features,spotify:track:5Bj9llJ7xr70Ny2nWiSM6G,0.395
0.119,https://api.spotify.com/v1/audio-analysis/3cdxShmWeMHolKPDi3SRXM,0.756,188864,0.552,3cdxShmWeMHolKPDi3SRXM,0.0,8,0.104,-6.912,1,0.0596,146.095,4,https://api.spotify.com/v1/tracks/3cdxShmWeMHolKPDi3SRXM,audio_features,spotify:track:3cdxShmWeMHolKPDi3SRXM,0.4
0.653,https://api.spotify.com/v1/audio-analysis/1gRMO4h3NGb1ZJA7TNdMPj,0.656,325556,0.381,1gRMO4h3NGb1ZJA7TNdMPj,0.0,0,0.116,-8.757,0,0.0802,84.907,4,https://api.spotify.com/v1/tracks/1gRMO4h3NGb1ZJA7TNdMPj,audio_features,spotify:track:1gRMO4h3NGb1ZJA7TNdMPj,0.166
0.432,https://api.spotify.com/v1/audio-analysis/0VPKan5aM2nQy5voiAjjUo,0.681,357948,0.61,0VPKan5aM2nQy5voiAjjUo,0.00158,1,0.144,-9.629,0,0.0413,104.995,4,https://api.spotify.com/v1/tracks/0VPKan5aM2nQy5voiAjjUo,audio_features,spotify:track:0VPKan5aM2nQy5voiAjjUo,0.121
0.378,https://api.spotify.com/v1/audio-analysis/25yiHDniULzQL1BaFgV4Tq,0.757,304795,0.618,25yiHDniULzQL1BaFgV4Tq,0.0,3,0.106,-8.037,0,0.172,101.031,4,https://api.spotify.com/v1/tracks/25yiHDniULzQL1BaFgV4Tq,audio_features,spotify:track:25yiHDniULzQL1BaFgV4Tq,0.316
0.277,https://api.spotify.com/v1/audio-analysis/4LAGHmHcSt0HHwXCJcFri6,0.779,233597,0.705,4LAGHmHcSt0HHwXCJcFri6,0.0,4,0.0804,-7.834,0,0.0827,103.048,4,https://api.spotify.com/v1/tracks/4LAGHmHcSt0HHwXCJcFri6,audio_features,spotify:track:4LAGHmHcSt0HHwXCJcFri6,0.228
0.451,https://api.spotify.com/v1/audio-analysis/1s3XtkdfT3obSCbQVWtvX9,0.803,304524,0.624,1s3XtkdfT3obSCbQVWtvX9,0.000734,7,0.1,-6.764,0,0.0477,95.968,4,https://api.spotify.com/v1/tracks/1s3XtkdfT3obSCbQVWtvX9,audio_features,spotify:track:1s3XtkdfT3obSCbQVWtvX9,0.628
0.307,https://api.spotify.com/v1/audio-analysis/7qqPnzVQILmJeldy9smPLj,0.493,316949,0.606,7qqPnzVQILmJeldy9smPLj,1.01e-05,5,0.113,-8.409,0,0.16,104.887,4,https://api.spotify.com/v1/tracks/7qqPnzVQILmJeldy9smPLj,audio_features,spotify:track:7qqPnzVQILmJeldy9smPLj,0.233
0.431,https://api.spotify.com/v1/audio-analysis/3vmoC735YdyvsrF0HtbmGn,0.896,173320,0.532,3vmoC735YdyvsrF0HtbmGn,1.35e-05,8,0.221,-6.823,1,0.257,133.904,4,https://api.spotify.com/v1/tracks/3vmoC735YdyvsrF0HtbmGn,audio_features,spotify:track:3vmoC735YdyvsrF0HtbmGn,0.614
0.4,https://api.spotify.com/v1/audio-analysis/1gVnckXtTdCoLwtiPPqlQS,0.592,316546,0.371,1gVnckXtTdCoLwtiPPqlQS,0.000367,9,0.0953,-9.965,0,0.0437,127.966,4,https://api.spotify.com/v1/tracks/1gVnckXtTdCoLwtiPPqlQS,audio_features,spotify:track:1gVnckXtTdCoLwtiPPqlQS,0.197
0.399,https://api.spotify.com/v1/audio-analysis/5c2HadbVTsMKjja4gohEFI,0.755,203301,0.875,5c2HadbVTsMKjja4gohEFI,0.0,7,0.115,-5.944,0,0.193,145.008,4,https://api.spotify.com/v1/tracks/5c2HadbVTsMKjja4gohEFI,audio_features,spotify:track:5c2HadbVTsMKjja4gohEFI,0.393
0.741,https://api.spotify.com/v1/audio-analysis/55mCsKCo4bPuYtZvHppp8z,0.619,198857,0.644,55mCsKCo4bPuYtZvHppp8z,0.0,6,0.0753,-6.577,0,0.204,157.494,3,https://api.spotify.com/v1/tracks/55mCsKCo4bPuYtZvHppp8z,audio_features,spotify:track:55mCsKCo4bPuYtZvHppp8z,0.343
0.647,https://api.spotify.com/v1/audio-analysis/0rQbvQpjQ6QeeCAnVRzokf,0.683,157184,0.693,0rQbvQpjQ6QeeCAnVRzokf,0.0,5,0.121,-6.441,0,0.127,137.826,4,https://api.spotify.com/v1/tracks/0rQbvQpjQ6QeeCAnVRzokf,audio_features,spotify:track:0rQbvQpjQ6QeeCAnVRzokf,0.322
0.687,https://api.spotify.com/v1/audio-analysis/0Jh6iWjna1wk5le0Ahn7No,0.8,193444,0.756,0Jh6iWjna1wk5le0Ahn7No,2.06e-06,7,0.111,-4.4,0,0.0367,113.204,3,https://api.spotify.com/v1/tracks/0Jh6iWjna1wk5le0Ahn7No,audio_features,spotify:track:0Jh6iWjna1wk5le0Ahn7No,0.456
0.313,https://api.spotify.com/v1/audio-analysis/5oePa8PlOTPAlRaGs2OZ3A,0.717,184800,0.774,5oePa8PlOTPAlRaGs2OZ3A,0.0,2,0.129,-6.927,0,0.0515,103.849,4,https://api.spotify.com/v1/tracks/5oePa8PlOTPAlRaGs2OZ3A,audio_features,spotify:track:5oePa8PlOTPAlRaGs2OZ3A,0.511
0.212,https://api.spotify.com/v1/audio-analysis/35nTy3pmeNhvcfLRx15iLH,0.858,154627,0.768,35nTy3pmeNhvcfLRx15iLH,0.00128,10,0.0791,-6.212,0,0.134,166.044,4,https://api.spotify.com/v1/tracks/35nTy3pmeNhvcfLRx15iLH,audio_features,spotify:track:35nTy3pmeNhvcfLRx15iLH,0.728
0.00937,https://api.spotify.com/v1/audio-analysis/6stxV2bl7xSiPUornxwyNR,0.811,162907,0.692,6stxV2bl7xSiPUornxwyNR,0.0,4,0.0598,-2.836,0,0.105,125.009,4,https://api.spotify.com/v1/tracks/6stxV2bl7xSiPUornxwyNR,audio_features,spotify:track:6stxV2bl7xSiPUornxwyNR,0.817
0.506,https://api.spotify.com/v1/audio-analysis/1DEkiMSnnYqj69ubNFD2ya,0.931,126467,0.416,1DEkiMSnnYqj69ubNFD2ya,5.87e-05,7,0.184,-8.877,1,0.447,124.051,4,https://api.spotify.com/v1/tracks/1DEkiMSnnYqj69ubNFD2ya,audio_features,spotify:track:1DEkiMSnnYqj69ubNFD2ya,0.454
