acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.314,https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn,0.755,189052,0.858,4pUCKHjJ4Ijewc37rRrvHn,0.00318,2,0.301,-4.119,1,0.198,132.082,4,https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn,audio_features,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,0.57
0.0209,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,0.509,193798,0.689,4n7jnSxVLd8QioibtTDBDq,0.0,1,0.301,-4.929,0,0.102,170.087,4,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,audio_features,spotify:track:4n7jnSxVLd8QioibtTDBDq,0.297
0.196,https://api.spotify.com/v1/audio-analysis/0lks2Kt9veMOFEAPN0fsqN,0.423,195840,0.634,0lks2Kt9veMOFEAPN0fsqN,0.0,6,0.189,-5.877,0,0.0578,150.978,4,https://api.spotify.com/v1/tracks/0lks2Kt9veMOFEAPN0fsqN,audio_features,spotify:track:0lks2Kt9veMOFEAPN0fsqN,0.467
0.727,https://api.spotify.com/v1/audio-analysis/1Hy1CBFRXYvFL7eJT5MLlG,0.59,255625,0.263,1Hy1CBFRXYvFL7eJT5MLlG,0.0,9,0.117,-10.006,1,0.0283,135.927,4,https://api.spotify.com/v1/tracks/1Hy1CBFRXYvFL7eJT5MLlG,audio_features,spotify:track:1Hy1CBFRXYvFL7eJT5MLlG,0.325
0.598,https://api.spotify.com/v1/audio-analysis/3FcCAFQj4bLpfxo8gj1kk9,0.558,207700,0.374,3FcCAFQj4bLpfxo8gj1kk9,0.0,5,0.108,-12.425,1,0.0471,99.953,4,https://api.spotify.com/v1/tracks/3FcCAFQj4bLpfxo8gj1kk9,audio_features,spotify:track:3FcCAFQj4bLpfxo8gj1kk9,0.217
0.788,https://api.spotify.com/v1/audio-analysis/25qm0qQzdRkWe96BKuaiHt,0.665,325947,0.276,25qm0qQzdRkWe96BKuaiHt,0.0,7,0.099,-11.053,1,0.026,130.07,4,https://api.spotify.com/v1/tracks/25qm0qQzdRkWe96BKuaiHt,audio_features,spotify:track:25qm0qQzdRkWe96BKuaiHt,0.299
0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,0.334,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
0.229,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,0.717,207320,0.653,3e9HZxeyfWwjeyPAMmWSSQ,0.0,1,0.101,-5.634,1,0.0658,106.966,4,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.412
0.106,https://api.spotify.com/v1/audio-analysis/1TaQciB8qqRZ9fxWGhS65X,0.63,201081,0.648,1TaQciB8qqRZ9fxWGhS65X,0.0,6,0.146,-4.163,0,0.057,129.951,4,https://api.spotify.com/v1/tracks/1TaQciB8qqRZ9fxWGhS65X,audio_features,spotify:track:1TaQciB8qqRZ9fxWGhS65X,0.412
0.269,https://api.spotify.com/v1/audio-analysis/1ZLrDPgR7mvuTco3rQK8Pk,0.737,192453,0.747,1ZLrDPgR7mvuTco3rQK8Pk,0.0,10,0.219,-4.818,1,0.0323,105.943,4,https://api.spotify.com/v1/tracks/1ZLrDPgR7mvuTco3rQK8Pk,audio_features,spotify:track:1ZLrDPgR7mvuTco3rQK8Pk,0.447
0.0861,https://api.spotify.com/v1/audio-analysis/2wVDWtLKXunswWecARNILj,0.751,169567,0.642,2wVDWtLKXunswWecARNILj,0.0,3,0.0953,-5.165,0,0.087,95.045,4,https://api.spotify.com/v1/tracks/2wVDWtLKXunswWecARNILj,audio_features,spotify:track:2wVDWtLKXunswWecARNILj,0.388
0.172,https://api.spotify.com/v1/audio-analysis/3id2EVGKc3eFAMn9nFnB0r,0.538,205440,0.409,3id2EVGKc3eFAMn9nFnB0r,0.0,9,0.11,-6.581,0,0.0505,171.838,4,https://api.spotify.com/v1/tracks/3id2EVGKc3eFAMn9nFnB0r,audio_features,spotify:track:3id2EVGKc3eFAMn9nFnB0r,0.265
0.306,https://api.spotify.com/v1/audio-analysis/66wRGrt1HmeVa1wtnWMj6C,0.703,218406,0.291,66wRGrt1HmeVa1wtnWMj6C,0.0,11,0.113,-7.109,1,0.0278,96.058,4,https://api.spotify.com/v1/tracks/66wRGrt1HmeVa1wtnWMj6C,audio_features,spotify:track:66wRGrt1HmeVa1wtnWMj6C,0.449
0.557,https://api.spotify.com/v1/audio-analysis/1Dxb9nWV16f5PthsUsV1XZ,0.574,236395,0.37,1Dxb9nWV16f5PthsUsV1XZ,2.23e-05,5,0.0806,-9.487,1,0.027,76.863,4,https://api.spotify.com/v1/tracks/1Dxb9nWV16f5PthsUsV1XZ,audio_features,spotify:track:1Dxb9nWV16f5PthsUsV1XZ,0.372
