acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0135,https://api.spotify.com/v1/audio-analysis/2QrXzOqLCVDRZHkToA0tSR,0.421,175424,0.653,2QrXzOqLCVDRZHkToA0tSR,0.0,9,0.114,-4.85,0,0.398,78.6,4,https://api.spotify.com/v1/tracks/2QrXzOqLCVDRZHkToA0tSR,audio_features,spotify:track:2QrXzOqLCVDRZHkToA0tSR,0.733
0.506,https://api.spotify.com/v1/audio-analysis/02hXZxgl6XwtAdK9y2sb6B,0.636,179522,0.495,02hXZxgl6XwtAdK9y2sb6B,0.0,11,0.118,-7.474,1,0.0446,119.779,4,https://api.spotify.com/v1/tracks/02hXZxgl6XwtAdK9y2sb6B,audio_features,spotify:track:02hXZxgl6XwtAdK9y2sb6B,0.334
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,0.334,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578
0.395,https://api.spotify.com/v1/audio-analysis/1UM18grarSYZwgeEFjqM4y,0.78,197073,0.569,1UM18grarSYZwgeEFjqM4y,0.0,0,0.184,-7.822,0,0.068,123.03,4,https://api.spotify.com/v1/tracks/1UM18grarSYZwgeEFjqM4y,audio_features,spotify:track:1UM18grarSYZwgeEFjqM4y,0.5
0.186,https://api.spotify.com/v1/audio-analysis/4j6zwZXmowzteSNjeqq1np,0.75,179052,0.703,4j6zwZXmowzteSNjeqq1np,0.0,6,0.152,-5.105,1,0.0433,108.021,4,https://api.spotify.com/v1/tracks/4j6zwZXmowzteSNjeqq1np,audio_features,spotify:track:4j6zwZXmowzteSNjeqq1np,0.537
0.0339,https://api.spotify.com/v1/audio-analysis/48pM1v8Z0EN8OiKzifbOWG,0.626,181802,0.347,48pM1v8Z0EN8OiKzifbOWG,0.0,1,0.534,-7.23,0,0.0436,137.433,4,https://api.spotify.com/v1/tracks/48pM1v8Z0EN8OiKzifbOWG,audio_features,spotify:track:48pM1v8Z0EN8OiKzifbOWG,0.185
0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040,0.734,4y3OI86AEP6PQoDE6olYhO,0.0,1,0.106,-5.065,0,0.0588,137.958,4,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952
0.695,https://api.spotify.com/v1/audio-analysis/13dz8meqaaQ39pRZ28gg9x,0.597,202047,0.43,13dz8meqaaQ39pRZ28gg9x,0.0,1,0.112,-7.314,0,0.0459,130.086,4,https://api.spotify.com/v1/tracks/13dz8meqaaQ39pRZ28gg9x,audio_features,spotify:track:13dz8meqaaQ39pRZ28gg9x,0.298
0.148,https://api.spotify.com/v1/audio-analysis/0K3WykKk7ygKljIlHR4QtY,0.539,224629,0.786,0K3WykKk7ygKljIlHR4QtY,1.85e-06,11,0.4,-5.158,0,0.141,94.941,4,https://api.spotify.com/v1/tracks/0K3WykKk7ygKljIlHR4QtY,audio_features,spotify:track:0K3WykKk7ygKljIlHR4QtY,0.511
