acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,0
0.0452,https://api.spotify.com/v1/audio-analysis/2cKiHG16JBiqHdi7Llq0r7,0.545,306627.0,0.745,2cKiHG16JBiqHdi7Llq0r7,0.0,2.0,0.0907,-3.098,1.0,0.0286,106.094,4.0,https://api.spotify.com/v1/tracks/2cKiHG16JBiqHdi7Llq0r7,audio_features,spotify:track:2cKiHG16JBiqHdi7Llq0r7,0.413,
0.00135,https://api.spotify.com/v1/audio-analysis/59eluCMn0XbOWqeWQ91FTM,0.524,246307.0,0.687,59eluCMn0XbOWqeWQ91FTM,0.0,7.0,0.169,-4.039,1.0,0.0267,99.919,4.0,https://api.spotify.com/v1/tracks/59eluCMn0XbOWqeWQ91FTM,audio_features,spotify:track:59eluCMn0XbOWqeWQ91FTM,0.619,
0.314,https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn,0.755,189052.0,0.858,4pUCKHjJ4Ijewc37rRrvHn,0.00318,2.0,0.301,-4.119,1.0,0.198,132.082,4.0,https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn,audio_features,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,0.57,
0.0254,https://api.spotify.com/v1/audio-analysis/6kKvmT4i0Dercz6f3kftg3,0.441,238093.0,0.852,6kKvmT4i0Dercz6f3kftg3,0.0,1.0,0.0862,-3.595,1.0,0.0383,104.855,4.0,https://api.spotify.com/v1/tracks/6kKvmT4i0Dercz6f3kftg3,audio_features,spotify:track:6kKvmT4i0Dercz6f3kftg3,0.64,
0.263,https://api.spotify.com/v1/audio-analysis/7GYGVDPbi0zQUBIkuOPAY0,0.591,326867.0,0.673,7GYGVDPbi0zQUBIkuOPAY0,0.0,9.0,0.109,-2.445,1.0,0.0294,106.956,4.0,https://api.spotify.com/v1/tracks/7GYGVDPbi0zQUBIkuOPAY0,audio_features,spotify:track:7GYGVDPbi0zQUBIkuOPAY0,0.525,
0.67,https://api.spotify.com/v1/audio-analysis/0mNO3xUzjsI17GXO1DRFCH,0.606,274913.0,0.901,0mNO3xUzjsI17GXO1DRFCH,0.0,1.0,0.289,-2.552,1.0,0.11,93.012,4.0,https://api.spotify.com/v1/tracks/0mNO3xUzjsI17GXO1DRFCH,audio_features,spotify:track:0mNO3xUzjsI17GXO1DRFCH,0.748,
0.0345,https://api.spotify.com/v1/audio-analysis/0N8Xztr4pBHJ7V0moJWhbO,0.673,235241.0,0.85,0N8Xztr4pBHJ7V0moJWhbO,1.14e-05,2.0,0.0943,-5.021,1.0,0.0337,100.008,4.0,https://api.spotify.com/v1/tracks/0N8Xztr4pBHJ7V0moJWhbO,audio_features,spotify:track:0N8Xztr4pBHJ7V0moJWhbO,0.793,
0.288,https://api.spotify.com/v1/audio-analysis/4IouQaO9GkaHC7AtMErdSa,0.625,289578.0,0.668,4IouQaO9GkaHC7AtMErdSa,0.0,6.0,0.107,-4.315,1.0,0.0249,95.968,4.0,https://api.spotify.com/v1/tracks/4IouQaO9GkaHC7AtMErdSa,audio_features,spotify:track:4IouQaO9GkaHC7AtMErdSa,0.292,
0.675,https://api.spotify.com/v1/audio-analysis/22aZD7yaGYfhgCYazL4nbc,0.378,352507.0,0.426,22aZD7yaGYfhgCYazL4nbc,0.0,8.0,0.207,-7.314,1.0,0.0308,152.03,4.0,https://api.spotify.com/v1/tracks/22aZD7yaGYfhgCYazL4nbc,audio_features,spotify:track:22aZD7yaGYfhgCYazL4nbc,0.184,
0.581,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,0.825,233713.0,0.652,7qiZfU4dY1lWllzX7mPBI3,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.931,
0.00333,https://api.spotify.com/v1/audio-analysis/0QKmcZNAST4GytJYmkN05D,0.466,257067.0,0.934,0QKmcZNAST4GytJYmkN05D,0.0,1.0,0.277,-2.739,1.0,0.0539,154.966,4.0,https://api.spotify.com/v1/tracks/0QKmcZNAST4GytJYmkN05D,audio_features,spotify:track:0QKmcZNAST4GytJYmkN05D,0.62,
0.00465,https://api.spotify.com/v1/audio-analysis/7swIKcU4tFRk4iFJpi12Fg,0.403,222520.0,0.87,7swIKcU4tFRk4iFJpi12Fg,0.0,11.0,0.139,-1.871,1.0,0.0474,115.398,4.0,https://api.spotify.com/v1/tracks/7swIKcU4tFRk4iFJpi12Fg,audio_features,spotify:track:7swIKcU4tFRk4iFJpi12Fg,0.549,
0.156,https://api.spotify.com/v1/audio-analysis/77lmDcPPyY6kK907gdgC6i,0.638,342773.0,0.766,77lmDcPPyY6kK907gdgC6i,0.0,1.0,0.124,-5.541,1.0,0.0268,112.0,4.0,https://api.spotify.com/v1/tracks/77lmDcPPyY6kK907gdgC6i,audio_features,spotify:track:77lmDcPPyY6kK907gdgC6i,0.595,
0.0028,https://api.spotify.com/v1/audio-analysis/2H3bOGOE50qEo5wAYoJiwL,0.422,266520.0,0.918,2H3bOGOE50qEo5wAYoJiwL,0.0,7.0,0.0409,-3.347,1.0,0.069,168.029,4.0,https://api.spotify.com/v1/tracks/2H3bOGOE50qEo5wAYoJiwL,audio_features,spotify:track:2H3bOGOE50qEo5wAYoJiwL,0.469,
0.151,https://api.spotify.com/v1/audio-analysis/7CmWXD3w1xOO53AAO4LRVQ,0.37,295600.0,0.8,7CmWXD3w1xOO53AAO4LRVQ,3.33e-06,7.0,0.089,-3.403,1.0,0.0436,161.934,4.0,https://api.spotify.com/v1/tracks/7CmWXD3w1xOO53AAO4LRVQ,audio_features,spotify:track:7CmWXD3w1xOO53AAO4LRVQ,0.451,
0.047,https://api.spotify.com/v1/audio-analysis/0ssEfLe9aqPhMmLXKqBw6J,0.359,314147.0,0.648,0ssEfLe9aqPhMmLXKqBw6J,2.43e-06,6.0,0.16,-3.36,0.0,0.0373,78.308,4.0,https://api.spotify.com/v1/tracks/0ssEfLe9aqPhMmLXKqBw6J,audio_features,spotify:track:0ssEfLe9aqPhMmLXKqBw6J,0.336,
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088.0,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0.0,0.1,-10.998,1.0,0.368,131.926,4.0,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578,
0.0839,https://api.spotify.com/v1/audio-analysis/7iXHLtPosbHvglVSJ4rxLq,0.505,236253.0,0.791,7iXHLtPosbHvglVSJ4rxLq,0.0,8.0,0.187,-3.729,1.0,0.0308,169.964,4.0,https://api.spotify.com/v1/tracks/7iXHLtPosbHvglVSJ4rxLq,audio_features,spotify:track:7iXHLtPosbHvglVSJ4rxLq,0.425,
0.0512,https://api.spotify.com/v1/audio-analysis/46gSY0U7ZZCmd7EuJuo15N,0.625,316187.0,0.86,46gSY0U7ZZCmd7EuJuo15N,0.0,1.0,0.408,-4.456,1.0,0.0314,129.064,4.0,https://api.spotify.com/v1/tracks/46gSY0U7ZZCmd7EuJuo15N,audio_features,spotify:track:46gSY0U7ZZCmd7EuJuo15N,0.533,
0.00141,https://api.spotify.com/v1/audio-analysis/0ve9Tpz8Yw0I4eXhWsy21o,0.508,248707.0,0.964,0ve9Tpz8Yw0I4eXhWsy21o,0.0,9.0,0.197,-4.077,1.0,0.0831,134.982,4.0,https://api.spotify.com/v1/tracks/0ve9Tpz8Yw0I4eXhWsy21o,audio_features,spotify:track:0ve9Tpz8Yw0I4eXhWsy21o,0.609,
0.0178,https://api.spotify.com/v1/audio-analysis/4zXRMjTaeflesB3Ih4eHnJ,0.615,214573.0,0.841,4zXRMjTaeflesB3Ih4eHnJ,0.0,11.0,0.133,-5.352,1.0,0.0416,126.026,4.0,https://api.spotify.com/v1/tracks/4zXRMjTaeflesB3Ih4eHnJ,audio_features,spotify:track:4zXRMjTaeflesB3Ih4eHnJ,0.316,
0.553,https://api.spotify.com/v1/audio-analysis/5RbMlPFL4gVyEHW2lEOuzG,0.519,328627.0,0.666,5RbMlPFL4gVyEHW2lEOuzG,0.000169,10.0,0.0948,-6.163,1.0,0.0262,149.839,4.0,https://api.spotify.com/v1/tracks/5RbMlPFL4gVyEHW2lEOuzG,audio_features,spotify:track:5RbMlPFL4gVyEHW2lEOuzG,0.461,
0.0623,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,0.791,156347.0,0.565,5icOoE6VgqFKohjWWNp0Ac,0.0,5.0,0.156,-3.933,0.0,0.0439,99.961,4.0,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,0.181,
0.128,https://api.spotify.com/v1/audio-analysis/5P8ZvBQoCrujjNcLAxO3Su,0.404,340080.0,0.705,5P8ZvBQoCrujjNcLAxO3Su,0.0,4.0,0.123,-3.324,1.0,0.0315,154.02,4.0,https://api.spotify.com/v1/tracks/5P8ZvBQoCrujjNcLAxO3Su,audio_features,spotify:track:5P8ZvBQoCrujjNcLAxO3Su,0.42,
0.066,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,0.54,294813.0,0.923,2jdbZGFp8KVTuk0YxDNL4l,0.0,9.0,0.124,-2.838,1.0,0.0623,137.977,4.0,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,audio_features,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,0.343,
0.0107,https://api.spotify.com/v1/audio-analysis/7DW5Dro8AHE7x19COl26E3,0.547,205013.0,0.949,7DW5Dro8AHE7x19COl26E3,0.0,8.0,0.377,-3.039,1.0,0.0841,97.041,4.0,https://api.spotify.com/v1/tracks/7DW5Dro8AHE7x19COl26E3,audio_features,spotify:track:7DW5Dro8AHE7x19COl26E3,0.783,
0.074,https://api.spotify.com/v1/audio-analysis/4IubwxgmXeZtDtYjTaT9gN,0.442,324053.0,0.748,4IubwxgmXeZtDtYjTaT9gN,0.0,6.0,0.1,-5.448,1.0,0.0302,89.956,4.0,https://api.spotify.com/v1/tracks/4IubwxgmXeZtDtYjTaT9gN,audio_features,spotify:track:4IubwxgmXeZtDtYjTaT9gN,0.493,
0.207,https://api.spotify.com/v1/audio-analysis/5Tj1wsJ6wE3Mf1MD0uKGnu,0.652,261333.0,0.806,5Tj1wsJ6wE3Mf1MD0uKGnu,5.53e-05,0.0,0.135,-3.203,1.0,0.0277,97.053,4.0,https://api.spotify.com/v1/tracks/5Tj1wsJ6wE3Mf1MD0uKGnu,audio_features,spotify:track:5Tj1wsJ6wE3Mf1MD0uKGnu,0.732,
0.0286,https://api.spotify.com/v1/audio-analysis/0YAMQSmHk6BSUGTYpaoqTJ,0.379,295600.0,0.69,0YAMQSmHk6BSUGTYpaoqTJ,0.0,4.0,0.335,-4.79,1.0,0.0549,173.716,4.0,https://api.spotify.com/v1/tracks/0YAMQSmHk6BSUGTYpaoqTJ,audio_features,spotify:track:0YAMQSmHk6BSUGTYpaoqTJ,0.288,
0.0851,https://api.spotify.com/v1/audio-analysis/7H5uStZMOGpcVw7eW0eyTi,0.63,232440.0,0.8,7H5uStZMOGpcVw7eW0eyTi,0.0,2.0,0.0618,-3.427,1.0,0.036,90.02,4.0,https://api.spotify.com/v1/tracks/7H5uStZMOGpcVw7eW0eyTi,audio_features,spotify:track:7H5uStZMOGpcVw7eW0eyTi,0.717,
0.0144,https://api.spotify.com/v1/audio-analysis/5HXCP7b8k64WdZ1G0Bbc13,0.71,239133.0,0.988,5HXCP7b8k64WdZ1G0Bbc13,0.0,7.0,0.102,-1.594,1.0,0.0641,139.56,4.0,https://api.spotify.com/v1/tracks/5HXCP7b8k64WdZ1G0Bbc13,audio_features,spotify:track:5HXCP7b8k64WdZ1G0Bbc13,0.929,
