acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.314,https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn,0.755,189052,0.858,4pUCKHjJ4Ijewc37rRrvHn,0.00318,2,0.301,-4.119,1,0.198,132.082,4,https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn,audio_features,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,0.57
0.106,https://api.spotify.com/v1/audio-analysis/1TaQciB8qqRZ9fxWGhS65X,0.63,201081,0.648,1TaQciB8qqRZ9fxWGhS65X,0.0,6,0.146,-4.163,0,0.057,129.951,4,https://api.spotify.com/v1/tracks/1TaQciB8qqRZ9fxWGhS65X,audio_features,spotify:track:1TaQciB8qqRZ9fxWGhS65X,0.412
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578
0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040,0.734,4y3OI86AEP6PQoDE6olYhO,0.0,1,0.106,-5.065,0,0.0588,137.958,4,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952
0.0209,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,0.509,193798,0.689,4n7jnSxVLd8QioibtTDBDq,0.0,1,0.301,-4.929,0,0.102,170.087,4,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,audio_features,spotify:track:4n7jnSxVLd8QioibtTDBDq,0.297
0.0162,https://api.spotify.com/v1/audio-analysis/5R0cvR5BMFkLomChhmcCzr,0.768,191226,0.777,5R0cvR5BMFkLomChhmcCzr,0.0,1,0.0692,-3.58,0,0.0476,124.978,4,https://api.spotify.com/v1/tracks/5R0cvR5BMFkLomChhmcCzr,audio_features,spotify:track:5R0cvR5BMFkLomChhmcCzr,0.431
0.176,https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI,0.599,162583,0.733,7COXchtUOMd6uIT6HvmRaI,0.0,11,0.242,-7.058,1,0.203,102.211,4,https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI,audio_features,spotify:track:7COXchtUOMd6uIT6HvmRaI,0.534
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,0.334,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
0.435,https://api.spotify.com/v1/audio-analysis/32107DdzIGbVs9Pi54MuRS,0.422,191030,0.422,32107DdzIGbVs9Pi54MuRS,0.0,4,0.0936,-5.053,0,0.0296,110.251,4,https://api.spotify.com/v1/tracks/32107DdzIGbVs9Pi54MuRS,audio_features,spotify:track:32107DdzIGbVs9Pi54MuRS,0.206
0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913
0.701,https://api.spotify.com/v1/audio-analysis/2IAumRplFr0Ns09kKgt2je,0.496,321040,0.515,2IAumRplFr0Ns09kKgt2je,0.000168,9,0.155,-9.52,1,0.0352,140.051,4,https://api.spotify.com/v1/tracks/2IAumRplFr0Ns09kKgt2je,audio_features,spotify:track:2IAumRplFr0Ns09kKgt2je,0.263
0.0623,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,0.791,156347,0.565,5icOoE6VgqFKohjWWNp0Ac,0.0,5,0.156,-3.933,0,0.0439,99.961,4,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,0.181
0.45,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,0.741,171030,0.52,6Qs4SXO9dwPj5GKvVOv8Ki,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.347
