acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.236,https://api.spotify.com/v1/audio-analysis/5xIODxqlpUnRVA9ewZUCug,0.645,182522,0.774,5xIODxqlpUnRVA9ewZUCug,0.0,6,0.128,-4.839,0,0.344,86.692,4,https://api.spotify.com/v1/tracks/5xIODxqlpUnRVA9ewZUCug,audio_features,spotify:track:5xIODxqlpUnRVA9ewZUCug,0.635
0.293,https://api.spotify.com/v1/audio-analysis/5lCxlSBFyP5g4EhVypAoOu,0.777,247161,0.698,5lCxlSBFyP5g4EhVypAoOu,2.32e-05,6,0.0908,-7.706,0,0.0704,119.963,4,https://api.spotify.com/v1/tracks/5lCxlSBFyP5g4EhVypAoOu,audio_features,spotify:track:5lCxlSBFyP5g4EhVypAoOu,0.119
0.877,https://api.spotify.com/v1/audio-analysis/3r1cV21xPMkgCmxk8VqWOB,0.838,135597,0.549,3r1cV21xPMkgCmxk8VqWOB,0.000964,9,0.115,-7.145,0,0.0755,114.445,4,https://api.spotify.com/v1/tracks/3r1cV21xPMkgCmxk8VqWOB,audio_features,spotify:track:3r1cV21xPMkgCmxk8VqWOB,0.654
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578
0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656
0.176,https://api.spotify.com/v1/audio-analysis/0oOPa0AlLnjCO6eci0HIdH,0.515,190000,0.59,0oOPa0AlLnjCO6eci0HIdH,2.47e-06,2,0.141,-6.761,0,0.217,99.785,4,https://api.spotify.com/v1/tracks/0oOPa0AlLnjCO6eci0HIdH,audio_features,spotify:track:0oOPa0AlLnjCO6eci0HIdH,0.374
0.0361,https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O,0.908,113013,0.517,53CJANUxooaqGOtdsBTh7O,1.73e-06,1,0.0949,-6.063,1,0.129,136.019,4,https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O,audio_features,spotify:track:53CJANUxooaqGOtdsBTh7O,0.471
0.013,https://api.spotify.com/v1/audio-analysis/1L8LtC2s161XwY6YrtnQjw,0.819,173220,0.674,1L8LtC2s161XwY6YrtnQjw,0.0,6,0.384,-4.663,1,0.327,115.897,5,https://api.spotify.com/v1/tracks/1L8LtC2s161XwY6YrtnQjw,audio_features,spotify:track:1L8LtC2s161XwY6YrtnQjw,0.766
0.296,https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8,0.674,178480,0.881,5WHTFyqSii0lmT9R21abT8,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8,audio_features,spotify:track:5WHTFyqSii0lmT9R21abT8,0.234
0.275,https://api.spotify.com/v1/audio-analysis/1mdJ39D1lrR3aWIOhgeNaE,0.63,203067,0.692,1mdJ39D1lrR3aWIOhgeNaE,0.0,7,0.167,-4.951,0,0.427,179.877,4,https://api.spotify.com/v1/tracks/1mdJ39D1lrR3aWIOhgeNaE,audio_features,spotify:track:1mdJ39D1lrR3aWIOhgeNaE,0.82
