acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,status,artist,title,year,rank,artist1,title,artist2,artist3,artist4,artist5,artist6
0.0332,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,0.754,198973,0.449,6DCZcSspjsKoFjzjrWoCdn,8.29E-05,7,0.552,-9.211,1,0.109,77.169,4,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,0.357,89,,Drake,God's Plan,2018,1,Drake,God's Plan,,,,,
0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0,8,0.106,-6.312,1,0.0232,95.05,3,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168,89,,Ed Sheeran,Perfect,2018,2,Ed Sheeran,Perfect,,,,,
0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.579,85,,Bebe Rexha,Meant To Be,2018,3,Bebe Rexha,Meant To Be,Florida Georgia Line,,,,
0.184,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,0.765,217307,0.523,1rfofaqEpACxVEHIZBJe6W,3.56E-05,2,0.132,-4.333,1,0.03,104.988,4,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,0.394,88,,Camila Cabello,Havana,2018,4,Camila Cabello,Havana,Young Thug,,,,
0.117,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,0.587,218147,0.535,0e7ipj03S05BNilyu5bRzt,6.56E-05,5,0.131,-6.09,0,0.0898,159.847,4,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,audio_features,spotify:track:0e7ipj03S05BNilyu5bRzt,0.14,91,,Post Malone,Rockstar,2018,5,Post Malone,Rockstar,21 Savage,,,,
0.58,https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C,0.739,221440,0.559,3swc6WTsr7rl9DqQKQA55C,0,8,0.112,-8.011,1,0.117,140.124,4,https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C,0.439,89,,Post Malone,Psycho,2018,6,Post Malone,Psycho,Ty Dolla $ign,,,,
0.099,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,253390,0.726,58q2HKrzhC3ozto2nDdN4z,0,5,0.372,-3.998,0,0.129,136.048,4,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65,89,,Cardi B,I Like It,2018,7,Cardi B,I Like It,Bad Bunny,J Balvin,,,
0.171,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,0.753,184732,0.657,09IStsImFySgyp0pIQdqAc,0,7,0.112,-3.061,1,0.0449,107.01,4,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc,0.437,88,,Zedd,The Middle,2018,8,Zedd,The Middle,Maren Morris,Grey,,,
0.0589,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,0.835,217925,0.626,2G7V7zsVDxg1yRsu7Ew9RJ,6.00E-05,1,0.396,-5.833,1,0.125,91.03,4,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,audio_features,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,0.35,88,,Drake,In My Feelings,2018,9,Drake,In My Feelings,,,,,
0.568,https://api.spotify.com/v1/audio-analysis/6FRLCMO5TUHTexlWo8ym1W,0.851,235545,0.541,6FRLCMO5TUHTexlWo8ym1W,0,0,0.13,-6.825,1,0.0505,124.959,4,https://api.spotify.com/v1/tracks/6FRLCMO5TUHTexlWo8ym1W,audio_features,spotify:track:6FRLCMO5TUHTexlWo8ym1W,0.448,88,,Maroon 5,Girls Like You,2018,10,Maroon 5,Girls Like You,Cardi B,,,,
0.0891,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,0.586,210747,0.909,3CA9pLiwRIGtUBiMjbZmRw,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,0.757,85,,Drake,Nice For What,2018,11,Drake,Nice For What,,,,,
0.349,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,0.511,239836,0.566,285pBltuF7vW8TeWk8hdRR,0,6,0.34,-7.23,0,0.2,83.903,4,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,audio_features,spotify:track:285pBltuF7vW8TeWk8hdRR,0.218,91,,Juice WRLD,Lucid Dreams,2018,12,Juice WRLD,Lucid Dreams,,,,,
0.354,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,0.68,231267,0.563,7dt6x5M1jzdTEt8oCbisTK,0,10,0.136,-5.843,1,0.0454,145.028,4,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,audio_features,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.374,92,,Post Malone,Better Now,2018,13,Post Malone,Better Now,,,,,
0.0185,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,0.704,217289,0.859,3Vo4wInECJQuz9BIBMOu8i,0,5,0.0215,-4.877,0,0.0996,105.115,4,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,audio_features,spotify:track:3Vo4wInECJQuz9BIBMOu8i,0.926,83,,Bruno Mars,Finesse,2018,14,Bruno Mars,Finesse,Cardi B,,,,
0.0862,https://api.spotify.com/v1/audio-analysis/0At2qAoaVjIwWNAqrscXli,0.561,256064,0.779,0At2qAoaVjIwWNAqrscXli,0,10,0.078,-5.107,0,0.0531,81.965,4,https://api.spotify.com/v1/tracks/0At2qAoaVjIwWNAqrscXli,audio_features,spotify:track:0At2qAoaVjIwWNAqrscXli,0.235,79,,Ella Mai,Boo'd Up,2018,15,Ella Mai,Boo'd Up,,,,,
