year,rank,artist,title,id
2018,1,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn
2018,2,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v
2018,3,Bebe Rexha & Florida Georgia Line,Meant To Be,7iDa6hUg2VgEL1o1HjmfBn
2018,4,Camila Cabello Featuring Young Thug,Havana,1rfofaqEpACxVEHIZBJe6W
2018,5,Post Malone Featuring 21 Savage,Rockstar,0e7ipj03S05BNilyu5bRzt
2018,6,Post Malone Featuring Ty Dolla $ign,Psycho,3swc6WTsr7rl9DqQKQA55C
2018,7,"Cardi B, Bad Bunny & J Balvin",I Like It,58q2HKrzhC3ozto2nDdN4z
2018,8,"Zedd, Maren Morris & Grey",The Middle,09IStsImFySgyp0pIQdqAc
2018,9,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ
2018,10,Maroon 5 Featuring Cardi B,Girls Like You,6FRLCMO5TUHTexlWo8ym1W
2018,11,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw
2018,12,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR
2018,13,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK
2018,14,Bruno Mars & Cardi B,Finesse,3Vo4wInECJQuz9BIBMOu8i
2018,15,Ella Mai,Boo'd Up,0At2qAoaVjIwWNAqrscXli
2018,16,Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0
2018,17,XXXTENTACION,Sad!,3ee8Jmje8o58CHK66QrVC2
2018,18,Camila Cabello,Never Be The Same,4eWQlBRaTjPPUlzacqEeoQ
2018,19,Khalid & Normani,Love Lies,45Egmo7icyopuzJN0oMEdk
2018,20,Ariana Grande,No Tears Left To Cry,2qT1uLXPVPzGgFOx4jtEuo
2018,21,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR
2018,22,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB
2018,23,BlocBoy JB Featuring Drake,Look Alive,4qKcDkK6siZ7Jp1Jb4m0aL
2018,24,Taylor Swift,Delicate,6NFyWDv5CjfwuzoCkw47Xf
2018,25,Lil Baby & Drake,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ
2018,26,Marshmello & Anne-Marie,Friends,08bNPGLD8AhKpnnERrAc6G
2018,27,Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl
2018,28,Tyga Featuring Offset,Taste,5IaHrVsrferBYDm0bDyABy
2018,29,NF,Let You Down,52okn5MNA47tk87PeZJLEL
2018,30,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,2Xqd0wUttjueBfdcltADOv
2018,31,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,4QIyEq7TcTdAcxjI2AFlAK
2018,32,Dan + Shay,Tequila,42fw0rxRO2xbesF6mJfd4Y
2018,33,Portugal. The Man,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK
2018,34,"Migos, Nicki Minaj & Cardi B",MotorSport,4wFjTWCunQFKtukqrNijEt
2018,35,Lauv,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9
2018,36,5 Seconds Of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE
2018,37,Imagine Dragons,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb
2018,38,Offset & Metro Boomin,Ric Flair Drip,7sO5G9EABYOXQKNPNiE9NR
2018,39,Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh
2018,40,The Weeknd & Kendrick Lamar,Pray For Me,77UjLW8j5UAGAGVGhR5oUK
2018,41,Selena Gomez,Back To You,4hQ6UGyWQIGJmHSo0J88JW
2018,42,Travis Scott,Sicko Mode,2xLMifQCjDGFmkHkpNLD9h
2018,43,Migos Featuring Drake,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP
2018,44,Lil Pump,Gucci Gang,43ZyHQITOjhciSUUNPVRHc
2018,45,G-Eazy & Halsey,Him & I,5k38wzpLb15YgncyWdTZE4
2018,46,Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH
2018,47,Kendrick Lamar & SZA,All The Stars,3GCdLUSnKSMJhs4Tj6CV3s
2018,48,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf
2018,49,Sam Smith,Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV
2018,50,Kendrick Lamar Featuring Zacari,Love.,6PGoSes0D9eUDeeAafB2As
2018,51,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9
2018,52,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct
2018,53,Kane Brown,Heaven,1HXy5I3HTWq8OvxCn0z7G7
2018,54,Cardi B,Bodak Yellow (Money Moves),2771LMNxwf62FTAdpJMQfM
2018,55,Lil Dicky Featuring Chris Brown,Freaky Friday,10Igtw8bSDyyFs7KIsKngZ
2018,56,6ix9ine,Gummo,4HbiCvH1R7mVOJ7KY7JQBD
2018,57,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6
2018,58,Maroon 5,Wait,3T9CfDxFYqZWSKxd0BhZrb
2018,59,Cardi B,Be Careful,2Yl4OmDby9iitgNWZPwxkd
2018,60,Selena Gomez X Marshmello,Wolves,0tBbt8CrmxbjRP0pueQkyU
2018,61,Cardi B Featuring 21 Savage,Bartier Cardi,0dIoGTQXDh1wVnhIiSyYEa
2018,62,Ariana Grande,God Is A Woman,5OCJzvD7sykQEKHH7qAC3C
2018,63,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,0ZNrc4kNeQYD9koZ3KvCsy
2018,64,Demi Lovato,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0
2018,65,Charlie Puth,How Long,6wmAHw1szh5RCKSRjiXhPe
2018,66,MAX Featuring gnash,Lights Down Low,1sYSP7gKa5kdKIfhANfori
2018,67,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
2018,68,Calvin Harris & Dua Lipa,One Kiss,7ef4DlsgrMEH11cDZd32M6
2018,69,Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT
2018,70,Jason Aldean,You Make It Easy,2zMDMCtGzTOD8qVHyznGIl
2018,71,Ed Sheeran,Shape Of You,7qiZfU4dY1lWllzX7mPBI3
2018,72,Gucci Mane Featuring Migos,I Get The Bag,1XRgIKC5TPwo7nWGyKqgG0
2018,73,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,5WvAo7DNuPRmk4APhdPzi8
2018,74,A$AP Ferg Featuring Nicki Minaj,Plain Jane,4dVpf9jZjcORqGTLUaeYj9
2018,75,Miguel Featuring Travis Scott,Sky Walker,46lg3BbcutEvBWXmC8BeTm
2018,76,Thomas Rhett,Marry Me,0OWZFobGSIW9GrSlQ9C5pc
2018,77,"benny blanco, Halsey & Khalid",Eastside,0d2iYfpKoM0QCKvcLCkBao
2018,78,The Weeknd,Call Out My Name,4MPTj8lMMvxLwT3EwuXFop
2018,79,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,51rXHuKN8Loc4sUlKPODgH
2018,80,Marshmello & Bastille,Happier,2dpaYNEQHiRxtZbfNsse99
2018,81,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,3V8UKqhEK5zBkBb6d6ub8i
2018,82,Florida Georgia Line,Simple,4L9Ds4mpD3SuYoWwFUlv16
2018,83,N*E*R*D & Rihanna,Lemon,4PpuH4mxL0rD35mOWaLoKS
